fy,sheet,row,code,account_code,list_no,seq,ward_col,work_name,project_cost_rs,provision_rs,prabhag_list,prabhag_nums,n_prabhag,prabhag_primary,prabhag_sub,ward_col_num,ward_col_sub
2016-17,CapitalListA,2541,CE20E101/SF1-20,CE20E101,SF1,20,29,प्रभाग क्र. २९ ब मध्ये पावसाळी लार्इन विकसित करणे,,2500000.0,"[(29, 'ब')]",[29],1,29.0,ब,29.0,
2016-17,CapitalListA,2542,CE20E101/SF1-21,CE20E101,SF1,21,30,प्रभाग क्र.३० अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे.,,1500000.0,"[(30, 'अ')]",[30],1,30.0,अ,30.0,
2016-17,CapitalListA,2543,CE20E101/SF1-22,CE20E101,SF1,22,32,प्रभाग क्र.३२ अ मध्ये पावसाळी लाईन दुरूस्त करणे व चेंबर वर उचलून घेणे,,1000000.0,"[(32, 'अ')]",[32],1,32.0,अ,32.0,
2016-17,CapitalListA,2544,CE20E101/SF1-23,CE20E101,SF1,23,32,प्रभाग क्र. ३२ ब मध्ये पावसाळी लार्इन व चेंबरची साफसफार्इ करणे,,1000000.0,"[(32, 'ब')]",[32],1,32.0,ब,32.0,
2016-17,CapitalListA,2545,CE20E101/SF1-24,CE20E101,SF1,24,33,प्रभाग क्र. ३३ अ स्वराली सोसायटी ते तेजस हॉल पावसाळी लाईन करणे,,2000000.0,"[(33, 'अ')]",[33],1,33.0,अ,33.0,
2016-17,CapitalListA,2546,CE20E101/SF1-25,CE20E101,SF1,25,33,प्रभाग क्र. ३३ अ श्रीराम पार्क परिसर येथे पावसाळी लाईन करणे,,2000000.0,"[(33, 'अ')]",[33],1,33.0,अ,33.0,
2016-17,CapitalListA,2547,CE20E101/SF1-26,CE20E101,SF1,26,33,प्रभाग क्र. ३३ अ गणंजय सोसायटी येथे पावसाळी लाईन करणे,,2000000.0,"[(33, 'अ')]",[33],1,33.0,अ,33.0,
2016-17,CapitalListA,2548,CE20E101/SF1-27,CE20E101,SF1,27,35,"प्रभाग क्र.३५ अ गोमती, शरयु, राधानंद, सोसा. येथे पावसाळी लार्इन टाकणे",,1000000.0,"[(35, 'अ')]",[35],1,35.0,अ,35.0,
2016-17,CapitalListA,2549,CE20E101/SF1-28,CE20E101,SF1,28,35,प्रभाग क्र.३५ अ विविध ठिकाणी पावसाळी लार्इन टाकणे,,1000000.0,"[(35, 'अ')]",[35],1,35.0,अ,35.0,
2016-17,CapitalListA,2550,CE20E101/SF1-29,CE20E101,SF1,29,36,प्रभाग क्र.३६ ब मध्ये भोंडे कॉलनी येथे पावसाळी लार्इन टाकणे,,1000000.0,"[(36, 'ब')]",[36],1,36.0,ब,36.0,
2016-17,CapitalListA,2551,CE20E101/SF1-30,CE20E101,SF1,30,37,"प्रभाग क्र.३७ ब केळकर रस्ता, माणकेशवर विष्णु चौक ते अप्पा बळवंत चौक रस्त्यावर पावसाळी गटारे करणे",,5000000.0,"[(37, 'ब')]",[37],1,37.0,ब,37.0,
2016-17,CapitalListA,2552,CE20E101/SF1-31,CE20E101,SF1,31,39,प्रभाग क्र.३९ अ मध्ये ३११ रास्ता पेठ ते ३२३ रास्ता पेठ लक्ष्मी सुगंधालय येथे पावसाळी लाईन टाकणे.,,1000000.0,"[(39, 'अ')]",[39],1,39.0,अ,39.0,
2016-17,CapitalListA,2553,CE20E101/SF1-32,CE20E101,SF1,32,39,प्र.क्र. ३९ ब मध्ये के.ई.एम. हॉस्पिटल ते जिवा महाले चौक मुख्य रस्त्यावर पावसाळी लाईन टाकणे व तदनुषंगीक कामे करणे.,,2000000.0,"[(39, 'ब')]",[39],1,39.0,ब,39.0,
2016-17,CapitalListA,2554,CE20E101/SF1-33,CE20E101,SF1,33,39,प्र.क्र. ३९ ब मध्ये रास्ते वाडा चौक ते क्रांतिवीर नानासाहेब पाटील चौक सोमवार पेठ पावसाळी लाईन टाकणे व तदनुषंगीक कामे करणे.,,2000000.0,"[(39, 'ब')]",[39],1,39.0,ब,39.0,
2016-17,CapitalListA,2555,CE20E101/SF1-34,CE20E101,SF1,34,40,प्रभाग क्र. ४० अ मध्ये ४३३ जुनी जिल्हा परिषद ते नरपतगीरी चौक पावसाळी लाईन टाकणे व तदनुषंगीक कामे करणे,,2000000.0,"[(40, 'अ')]",[40],1,40.0,अ,40.0,
2016-17,CapitalListA,2556,CE20E101/SF1-35,CE20E101,SF1,35,40,प्रभाग क्र. ४० अ मध्ये विविध ठिकाणी पावसाळी लाईन साफ करणे,,1000000.0,"[(40, 'अ')]",[40],1,40.0,अ,40.0,
2016-17,CapitalListA,2557,CE20E101/SF1-36,CE20E101,SF1,36,40,प्रभाग क्र.४० ब मध्ये रमेश फर्निचर ते वाय.एम.सी.ए. पर्यत पावसाळी लाईन टाकणे.,,2000000.0,"[(40, 'ब')]",[40],1,40.0,ब,40.0,
2016-17,CapitalListA,2558,CE20E101/SF1-37,CE20E101,SF1,37,40,प्रभाग क्र.४० ब मध्ये पॉवर हाऊस ते कादरभाई चौक पावसाळी लाईन टाकणे.,,1000000.0,"[(40, 'ब')]",[40],1,40.0,ब,40.0,
2016-17,CapitalListA,2559,CE20E101/SF1-38,CE20E101,SF1,38,41,प्रभाग क्र.४१ अ विविध ठिकाणी पावसाळी लाईन टाकणे,,2000000.0,"[(41, 'अ')]",[41],1,41.0,अ,41.0,
2016-17,CapitalListA,2560,CE20E101/SF1-39,CE20E101,SF1,39,42,प्रभाग क्र. ४२ अ मध्ये गरूड वस्ती मध्ये पावसाळी लाईन टाकणे,,2000000.0,"[(42, 'अ')]",[42],1,42.0,अ,42.0,
2016-17,CapitalListA,2561,CE20E101/SF1-40,CE20E101,SF1,40,43,प्रभाग क्र. ४३ अ मध्ये पंधरा नंबर सावंताच्या घरापासून पावसाळी लाईन विकसित करणे,,1000000.0,"[(43, 'अ')]",[43],1,43.0,अ,43.0,
2016-17,CapitalListA,2562,CE20E101/SF1-41,CE20E101,SF1,41,46,प्रभाग क्र. ४६ अ रामटेकडी येथील पावसाळी लाईन दुरुस्ती करणे व चेंबर साफ करणे,,1000000.0,"[(46, 'अ')]",[46],1,46.0,अ,46.0,
2016-17,CapitalListA,2563,CE20E101/SF1-42,CE20E101,SF1,42,47,प्रभाग क्र. ४७ ब विविध ठिकाणी पावसाळी लाईन टाकणे.,,1500000.0,"[(47, 'ब')]",[47],1,47.0,ब,47.0,
2016-17,CapitalListA,2564,CE20E101/SF1-43,CE20E101,SF1,43,48,प्रभाग क्र. ४८ अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे,,3000000.0,"[(48, 'अ')]",[48],1,48.0,अ,48.0,
2016-17,CapitalListA,2565,CE20E101/SF1-44,CE20E101,SF1,44,48,प्रभाग क्र. ४८ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे,,1000000.0,"[(48, 'ब')]",[48],1,48.0,ब,48.0,
2016-17,CapitalListA,2566,CE20E101/SF1-45,CE20E101,SF1,45,49,प्रभाग क्र.४९ अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे.,,3000000.0,"[(49, 'अ')]",[49],1,49.0,अ,49.0,
2016-17,CapitalListA,2567,CE20E101/SF1-46,CE20E101,SF1,46,50,प्रभाग क्र. ५० अ मध्ये शुक्रवार पेठ शिंदे आळी चौक ते उमरदंड चौक या ठिकाणी पावसाळी लार्इन टाकणे,,1000000.0,"[(50, 'अ')]",[50],1,50.0,अ,50.0,
2016-17,CapitalListA,2568,CE20E101/SF1-47,CE20E101,SF1,47,50,प्रभाग क्र. ५० अ मध्ये बुधवार पेठ परिसरात पावसाळी लार्इन टाकणे,,1000000.0,"[(50, 'अ')]",[50],1,50.0,अ,50.0,
2016-17,CapitalListA,2569,CE20E101/SF1-48,CE20E101,SF1,48,50,प्रभाग क्र. ५० अ मध्ये सदाशिव पेठ काटे बाग गल्ली या ठिकाणी पावसाळी लार्इन टाकणे,,500000.0,"[(50, 'अ')]",[50],1,50.0,अ,50.0,
2016-17,CapitalListA,2570,CE20E101/SF1-49,CE20E101,SF1,49,50,"प्रभाग क्र. ५० अ मध्ये सदाशिव पेठ नागनाथ पार, रिध्दी सिध्दी गणपती ते लज्जत हॉटेल या ठिकाणी पावसाळी लार्इन टाकणे",,1000000.0,"[(50, 'अ')]",[50],1,50.0,अ,50.0,
2016-17,CapitalListA,2571,CE20E101/SF1-50,CE20E101,SF1,50,52,प्रभाग क्र.५२ अ विविध ठिकाणी पावसाळी लाईनचे चेंबर दुरूस्ती व बदलणे,,1000000.0,"[(52, 'अ')]",[52],1,52.0,अ,52.0,
2016-17,CapitalListA,2572,CE20E101/SF1-51,CE20E101,SF1,51,53,प्रभाग क्र. ५३ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे,,1500000.0,"[(53, 'ब')]",[53],1,53.0,ब,53.0,
2016-17,CapitalListA,2573,CE20E101/SF1-52,CE20E101,SF1,52,53,"प्रभाग क्र. ५३ ब मध्ये सरितानगरी, नवश्या मारुती परिसरात विविध ठिकाणी पावसाळी लाईन टाकणे",,1500000.0,"[(53, 'ब')]",[53],1,53.0,ब,53.0,
2016-17,CapitalListA,2574,CE20E101/SF1-53,CE20E101,SF1,53,54,प्रभाग क्र.५४ अ मध्ये पावसाळी लाईन टाकणे.,,1500000.0,"[(54, 'अ')]",[54],1,54.0,अ,54.0,
2016-17,CapitalListA,2575,CE20E101/SF1-54,CE20E101,SF1,54,58,प्रभाग क्र. ५८ अ मधील शुक्रवार पेठेमध्ये सुभाषनगर परिसरामध्ये पावसाळी लाईन टाकणे.,,2000000.0,"[(58, 'अ')]",[58],1,58.0,अ,58.0,
2016-17,CapitalListA,2576,CE20E101/SF1-55,CE20E101,SF1,55,58,प्रभाग क्र. ५८ ब हिराबाग चौक ते देशमुख हॉस्पिटल रस्ता पावसाळी लाईन टाकणे.,,1000000.0,"[(58, 'ब')]",[58],1,58.0,ब,58.0,
2016-17,CapitalListA,2577,CE20E101/SF1-56,CE20E101,SF1,56,59,प्रभाग क्र.५९ ब मध्ये बंद पडलेली पावसाळी लार्इन विविध ठिकाणी नवीन टाकणे व दुरूस्ती विषयक कामे करणे,,1000000.0,"[(59, 'ब')]",[59],1,59.0,ब,59.0,
2016-17,CapitalListA,2578,CE20E101/SF1-57,CE20E101,SF1,57,61,"प्रभाग क्र. ६१अ सह्याद्री पार्क, आनंद पुरम इ. परिसरात पावसाळी नलिका विकसित करणे",,3000000.0,"[(61, 'अ')]",[61],1,61.0,अ,61.0,
2016-17,CapitalListA,2579,CE20E101/SF1-58,CE20E101,SF1,58,62,"प्रभाग क्र. ६२ अ कोंढवा बु! मध्ये,विविध ठिकाणी पावसाळी लाईन टकाणे.",,1000000.0,"[(62, 'अ')]",[62],1,62.0,अ,62.0,
2016-17,CapitalListA,2580,CE20E101/SF1-59,CE20E101,SF1,59,62,प्रभाग क्र.62 ब कोंढवा बु.मधील परिसरात विविध ठिकाणी पावसाळी लार्इन टाकणे,,2000000.0,"[(62, 'ब')]",[62],1,62.0,ब,62.0,
2016-17,CapitalListA,2581,CE20E101/SF1-60,CE20E101,SF1,60,63,प्रभाग क्र. ६३ अ मध्ये चेंबर दुरूस्ती व पावसाळी लाईन दुरूस्ती करणे,,1000000.0,"[(63, 'अ')]",[63],1,63.0,अ,63.0,
2016-17,CapitalListA,2582,CE20E101/SF1-61,CE20E101,SF1,61,63,प्रभाग क्र. ६३ अ मध्ये कुमार पृथ्वी ते युनिटी पार्क येथे पावसाळी लाईन टाकणे,,1000000.0,"[(63, 'अ')]",[63],1,63.0,अ,63.0,
2016-17,CapitalListA,2583,CE20E101/SF1-62,CE20E101,SF1,62,63,प्रभाग क्र.६३ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे,,2000000.0,"[(63, 'ब')]",[63],1,63.0,ब,63.0,
2016-17,CapitalListA,2584,CE20E101/SF1-63,CE20E101,SF1,63,64,प्र.क्र. ६४ ब मध्ये गोल्डन बेकरी ते पुनावाला गार्डन पावसाळी लाईन दुरूस्ती करणे.,,1000000.0,"[(64, 'ब')]",[64],1,64.0,ब,64.0,
2016-17,CapitalListA,2585,CE20E101/SF1-64,CE20E101,SF1,64,65,प्रभाग क्र. ६५ अ मनपा कॉलनी क्र. ८ व ९ मध्ये पावसाळी ड्रेनेज लाईन टाकणे,,1000000.0,"[(65, 'अ')]",[65],1,65.0,अ,65.0,
2016-17,CapitalListA,2586,CE20E101/SF1-65,CE20E101,SF1,65,67,प्रभाग क्रं.६७ अ सारंग सोसायटी येथे पावसाळी लाईन टाकणे.,,1000000.0,"[(67, 'अ')]",[67],1,67.0,अ,67.0,
2016-17,CapitalListA,2587,CE20E101/SF1-66,CE20E101,SF1,66,67,प्रभाग क्र.६७ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे,,4000000.0,"[(67, 'ब')]",[67],1,67.0,ब,67.0,
2016-17,CapitalListA,2588,CE20E101/SF1-67,CE20E101,SF1,67,67,प्रभाग क्र.६७ ब मध्ये शिवदर्शन परिसरात पावसाळी लाईन टाकणे,,1000000.0,"[(67, 'ब')]",[67],1,67.0,ब,67.0,
2016-17,CapitalListA,2589,CE20E101/SF1-68,CE20E101,SF1,68,69,प्रभाग क्र. ६९ ब मध्ये विविध ठिकाणी पावसाळी लाईन विषयक कामे करणे,,1500000.0,"[(69, 'ब')]",[69],1,69.0,ब,69.0,
2016-17,CapitalListA,2590,CE20E101/SF1-69,CE20E101,SF1,69,69,प्रभाग क्र. ६९ ब मध्ये पांचाळ वस्ती भागामध्ये ड्रेनेज व पावसाळी लाईन टाकणे,,1500000.0,"[(69, 'ब')]",[69],1,69.0,ब,69.0,
2016-17,CapitalListA,2591,CE20E101/SF1-70,CE20E101,SF1,70,69,प्रभाग क्र. ६९ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे,,2000000.0,"[(69, 'ब')]",[69],1,69.0,ब,69.0,
2016-17,CapitalListA,2592,CE20E101/SF1-71,CE20E101,SF1,71,70,प्रभाग क्र.७० ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे.,,1000000.0,"[(70, 'ब')]",[70],1,70.0,ब,70.0,
2016-17,CapitalListA,2593,CE20E101/SF1-72,CE20E101,SF1,72,71,प्रभाग क्र. ७१ ब मध्ये संगम सोसायटीत पावसाळी लाईन टाकणे,,1000000.0,"[(71, 'ब')]",[71],1,71.0,ब,71.0,
2016-17,CapitalListA,2594,CE20E101/SF1-73,CE20E101,SF1,73,71,प्रभाग क्र. ७१ ब बिबवेवाडी ओटा येथे पावसाळी लाईन टाकणे,,1000000.0,"[(71, 'ब')]",[71],1,71.0,ब,71.0,
2016-17,CapitalListA,2595,CE20E101/SF1-74,CE20E101,SF1,74,72,प्रभाग क्र. ७२ अ निलसागर सोसायटी मेन रोड वरील पावसाळी लाईन टाकणे,,1000000.0,"[(72, 'अ')]",[72],1,72.0,अ,72.0,
2016-17,CapitalListA,2596,CE20E101/SF1-75,CE20E101,SF1,75,72,प्रभाग क्र. ७२ अ चिंतामणी ते महेश सोसायटी चौक पावसाळी लाईन टाकणे,,1000000.0,"[(72, 'अ')]",[72],1,72.0,अ,72.0,
2016-17,CapitalListA,2597,CE20E101/SF1-76,CE20E101,SF1,76,72,प्रभाग क्र. ७२ अ व्हि.आय.टी. कॉलेज ते २७६ ओटा पावसाळी लाईन टाकणे,,1000000.0,"[(72, 'अ')]",[72],1,72.0,अ,72.0,
2016-17,CapitalListA,2598,CE20E101/SF1-77,CE20E101,SF1,77,72,प्रभाग क्र. ७२ अ विविध ठिकाणी पावसाळी लाईन टाकणे,,1000000.0,"[(72, 'अ')]",[72],1,72.0,अ,72.0,
2016-17,CapitalListA,2599,CE20E101/SF1-78,CE20E101,SF1,78,73,प्रभाग क्र. ७३ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे व झाकणे बदलणे,,2000000.0,"[(73, 'ब')]",[73],1,73.0,ब,73.0,
2016-17,CapitalListA,2600,CE20E101/SF1-79,CE20E101,SF1,79,74,प्रभाग क्र.७४ अ विविध ठिकाणी पावसाळी लाईन टाकणे व दुरूस्ती करणे,,2000000.0,"[(74, 'अ')]",[74],1,74.0,अ,74.0,
2016-17,CapitalListA,2601,CE20E101/SF1-80,CE20E101,SF1,80,75,प्रभाग क्र. ७५ अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे,,1000000.0,"[(75, 'अ')]",[75],1,75.0,अ,75.0,
2016-17,CapitalListA,2602,CE20E101/SF1-81,CE20E101,SF1,81,76,प्रभाग क्र. ७६ अ मधील सुखसागर नगर येथे स्ट्रॉम वॉटर लाईन टाकणे,,1000000.0,"[(76, 'अ')]",[76],1,76.0,अ,76.0,
2016-17,CapitalListA,2603,CE20E101/SF1-82,CE20E101,SF1,82,76,प्रभाग क्र. ७६ ब मध्ये वरखडेनगर ते प्रशांत फाटे यांच्या दुकानापर्यंत डोंगराच्या कडेने पावसाळी लार्इन टाकणे,,1000000.0,"[(76, 'ब')]",[76],1,76.0,ब,76.0,
2016-17,CapitalListA,2604,CE20E101/SF1-83,CE20E101,SF1,83,13,प्रभाग क्र. १३ ब मधील संगमवाडी मध्ये पावसाळी लाईन टाकणे,,5000000.0,"[(13, 'ब')]",[13],1,13.0,ब,13.0,
2016-17,CapitalListA,2605,CE20E101/SF1-84,CE20E101,SF1,84,13,प्रभाग क्र. १३ ब मध्ये नरवीर तानाजी वाडी येथे पावसाळी लाईन टाकणे,,3000000.0,"[(13, 'ब')]",[13],1,13.0,ब,13.0,
2017-18,A_Capital_List,2940,CE20E101/F1-6,CE20E101,F1,6,,पुणे शहराचे स्ट्रॉम वॉटर ड्रेनेज प्रकल्पातील एकोणीस बेसीनमध्ये तातडीने करावयाची कामे,,700000000.0,[],[],0,,,,
2017-18,A_Capital_List,2941,CE20E101/F1-7,CE20E101,F1,7,,"प्रकल्प व्यवस्थापन करणे, सल्लागार फी व तद्‌नुषंगिक कामे करणे.",,10000000.0,[],[],0,,,,
2017-18,A_Capital_List,2942,CE20E101/F1-8,CE20E101,F1,8,,एन.डी.ए.येथे शिवणे गावाकडे जाणार्‍या रस्त्यावर गणपती माथा वारजे येथे कल्व्हर्ट बांधणे.,,6400000.0,[],[],0,,,,
2017-18,A_Capital_List,2947,CE20E101/F1-2,CE20E101,F1,2,,नाला विकसित करणे,,100000000.0,[],[],0,,,,
2017-18,A_Capital_List,2948,CE20E101/F1-3,CE20E101,F1,3,,कल्व्हर्ट बांधणे,,40000000.0,[],[],0,,,,
2017-18,A_Capital_List,2949,CE20E101/F1-4,CE20E101,F1,4,,पावसाळी लाईन टाकणे,,155000000.0,[],[],0,,,,
2017-18,A_Capital_List,2950,CE20E101/F1-5,CE20E101,F1,5,,"प्रकल्प व्यवस्थापन करणे, सल्लागार फी व तद्‌नुषंगिक कामे",,5000000.0,[],[],0,,,,
2017-18,A_Capital_List,2978,CE20E101/SF1-101,CE20E101,SF1,101,,"प्रभाग क्र.1 अ,कळस धानोरी मध्ये विविध ठिकाणी पावसाळी लाईन दुरुस्ती करणे व साफसफाई करणे.",,1000000.0,"[(1, 'अ')]",[1],1,1.0,अ,,
2017-18,A_Capital_List,2979,CE20E101/SF1-102,CE20E101,SF1,102,,प्रभाग क्र. 1 ड (कळस-धानोरी) मधील मुंजाबावस्ती परिसरात पावसाळी लाईन टाकणे,,1000000.0,"[(1, 'ड')]",[1],1,1.0,ड,,
2017-18,A_Capital_List,2980,CE20E101/SF1-103,CE20E101,SF1,103,,प्रभाग क्र. 1 ड (कळस-धानोरी) मधील भैरवनगर परिसरात पावसाळी लाईन टाकणे,,1000000.0,"[(1, 'ड')]",[1],1,1.0,ड,,
2017-18,A_Capital_List,2981,CE20E101/SF1-104,CE20E101,SF1,104,,प्रभाग क्र. 1 ड (कळस-धानोरी) मधील धानोरी परिसरात पावसाळी लाईन टाकणे,,1000000.0,"[(1, 'ड')]",[1],1,1.0,ड,,
2017-18,A_Capital_List,2982,CE20E101/SF1-105,CE20E101,SF1,105,,प्रभाग क्र. 1 ड (कळस-धानोरी) मधील विश्रांतवाडी परिसरात पावसाळी लाईन टाकणे,,1000000.0,"[(1, 'ड')]",[1],1,1.0,ड,,
2017-18,A_Capital_List,2983,CE20E101/SF1-106,CE20E101,SF1,106,,प्रभाग क्र. 1 ड (कळस-धानोरी) मधील कळस परिसरात पावसाळी लाईन टाकणे,,1000000.0,"[(1, 'ड')]",[1],1,1.0,ड,,
2017-18,A_Capital_List,2984,CE20E101/SF1-107,CE20E101,SF1,107,,प्रभाग क्र. 1 ड (कळस-धानोरी) मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे,,1000000.0,"[(1, 'ड')]",[1],1,1.0,ड,,
2017-18,A_Capital_List,2985,CE20E101/SF1-108,CE20E101,SF1,108,,"प्रभाग क्र.2 ब मधील चंद्रमानगरर,पंचशिलनगर,हिरामण मोझे नगर, इंदिरानगर येथील पावसाळी लाईन दुरुस्ती व साफसफाई करणे",,1000000.0,"[(2, 'ब')]",[2],1,2.0,ब,,
2017-18,A_Capital_List,2986,CE20E101/SF1-109,CE20E101,SF1,109,,प्रभाग क्र.3 क विविध ठिकाणी पावसाळी लाईन टाकणे,,1000000.0,"[(3, 'क')]",[3],1,3.0,क,,
2017-18,A_Capital_List,2987,CE20E101/SF1-110,CE20E101,SF1,110,,प्रभाग क्र 5 अ मधील वाडेश्वर नगर गल्ली नं.3 जॉन फर्नाडीस यांचे घरापासून ते जुना मुंढवा रस्त्यापर्यत पावसाळी लाईन टाकणे,,1000000.0,"[(5, 'अ')]",[5],1,5.0,अ,,
