fy,code,prabhag,prabhag_sub,ward_col,amount_rs,provision_rs,work_name
2017-18,CE20E101/SF1-158,18,क,,1000000.0,1000000.0,"प्रभाग क्र.18क, गुरूवार पेठ परिसरात विविध ठिकाणी पावसाळी लाईन टाकणे व तद्‌नुषंगिक कामे करणे."
2017-18,CE20E101/SF1-159,19,ब,,1000000.0,1000000.0,"प्रभाग क्र.19ब, मध्ये क्षेत्रिय कार्यालय ते लडकत पेट्रोल पंप नेहरू रोड पर्यंत पावसाळी लाईन टाकणे व व तद्‌नुषंगिक कामे करणे"
2017-18,CE20E101/SF1-160,19,ब,,1000000.0,1000000.0,"प्रभाग क्र.19ब, मध्ये क्षेत्रिय कार्यालयालगत सुलभ शौचालाय नवा रोड ते नेहरू रोड पर्यंत पावसाळी लाईन टाकणे व व तद्‌नुषंगिक कामे करणे"
2017-18,CE20E101/SF1-161,19,ब,,1000000.0,1000000.0,"प्रभाग क्र.19ब, मध्ये ए.डी.कॅम्प चौक ते भवानी माता मंदिर चौक पावसाळी लाईन टाकणे व तद्‌नुषंगिक कामे करणे"
2017-18,CE20E101/SF1-162,19,क,,1000000.0,1000000.0,"प्रभाग क्र.19क, पावसाळी जाळ्या बदलणे"
2017-18,CE20E101/SF1-163,20,अ,,1000000.0,1000000.0,"प्रभाग क्र.20 अ, मध्ये विशाल अपार्टमेंट ते जुना मोटार स्टँड चौक पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-164,20,ब,,1000000.0,1000000.0,"प्रभाग क्र.20 ब, मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-165,21,क,,2000000.0,2000000.0,"प्रभाग क्र.21क, बोट क्लब मंडळ रस्त्यावर पावसाळी गटार टाकणे."
2017-18,CE20E101/SF1-166,23,अ,,1000000.0,1000000.0,"प्रभाग क्र.23 अ, स.नं.311 ससाणेनगर रेल्वे लाईनच्या पूर्व पश्चिम रेल्वे गेट ते डी पी रोड पर्यत पावसाळी 36 इंची लाईन टाकणे"
2017-18,CE20E101/SF1-167,23,अ,,1000000.0,1000000.0,"प्रभाग क्र.23 अ, हडपसर गावठाणामध्ये विविध ठिकाणी 24 इंची पावसाळी गटार लाईन टाकणे"
2017-18,CE20E101/SF1-168,23,अ,,1000000.0,1000000.0,"प्रभाग क्र.23 अ, ससाणेनगर रोड ते हिंगणेमळा स.नं.81,82 मधील कॅनॉलच्या कडेने 24 इंची पावसाळी गटार लाईन टाकणे"
2017-18,CE20E101/SF1-169,23,अ,,1000000.0,1000000.0,"प्रभाग क्र.23 अ, वेताळबाबा झो.पट्टी गाडीतळ याठिकाणी 36 इंची कॅनॉल व ग्लायडिंग सेंटरच्या उत्तर बाबजूने पूर्व पश्चिम पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-170,23,ब,,1000000.0,1000000.0,प्रभाग क्र.23 ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे.
2017-18,CE20E101/SF1-171,23,क,,4000000.0,4000000.0,"प्रभाग क्र.23 क, काळे पडळ येथे पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-172,23,ड,,1000000.0,1000000.0,प्रभाग क्र.23 ड मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे व दुरुस्त करणे
2017-18,CE20E101/SF1-173,26,क,,1000000.0,1000000.0,प्रभाग क्र.26 क मध्ये विविध ठिकाणी पावसाळी लाईन विकसित करणे
2017-18,CE20E101/SF1-174,26,ड,,1000000.0,1000000.0,प्रभाग क्र.26 ड उंड्री चौक येथे टकले बिल्डींग जवळ समोरील रस्त्यावर पावसाळी लाईन टाकणे व रोड तयार करणे
2017-18,CE20E101/SF1-175,27,अ,,1000000.0,1000000.0,प्रभाग क्र.27 अ मध्ये विविध ठिकाणी पावसाळी लाईन साफसफाई व दुरुस्ती करणे
2017-18,CE20E101/SF1-176,27,क,,1000000.0,1000000.0,प्रभाग क्र.27 क मध्ये जे के पार्क व विविध ठिकाणी पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-177,28,ड,,1000000.0,1000000.0,"प्रभाग क्र.28ड, मध्ये विविध ठिकाणी पावसाळी लाईन , साफसफाई करणे व दुरूस्ती करणे."
2017-18,CE20E101/SF1-178,28,ड,,1000000.0,1000000.0,"प्रभाग क्र.28ड,ऋतुराज सोसायटीमध्ये गल्ली क्र.1 ते 6 मध्ये पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-179,28,ड,,1000000.0,1000000.0,"प्रभाग क्र.28ड, मध्ये ऋतुराज सोसायटी मध्ये गल्ली क्र.4 मध्ये पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-180,30,ड,,1000000.0,1000000.0,"प्रभाग क्र.30 ड, गल्ली क्र.90 ते 100 पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-181,31,ब,,1000000.0,1000000.0,"प्रभाग क्र.31 ब, समर्थ सोसायटीमध्ये पावसाळी लाईन विकसित करणे."
2017-18,CE20E101/SF1-182,31,क,,1000000.0,1000000.0,"प्रभाग क्र.31 क, स.नं.5 स्वेदगंगा सोसायटीमधून आलेली पावसाळी लाईन मुख्य रस्ता पावसाळी लाईनला जोडणे."
2017-18,CE20E101/SF1-183,31,क,,1000000.0,1000000.0,"प्रभाग क्र.31 क, पावसाळी लाईन सुधारणा करणे व मुख्य लाईनला जोडणे"
2017-18,CE20E101/SF1-184,31,क,,1000000.0,1000000.0,"प्रभाग क्र.31 क, तिरूपतीनगर, आकाशनगर येथे पावसाळी लाईन कुलकर्णी हॉस्पीटल जवळ लाईनला जोडणे"
2017-18,CE20E101/SF1-185,31,क,,1000000.0,1000000.0,"प्रभाग क्र.31 क, स.नं.144 व 4 कॅनॉल रस्ता, जनसेवा बेकरी, मोरया हाईटस्‌ येथील पावसाळी लाईन ओढयाला जोडणे."
2017-18,CE20E101/SF1-186,31,ड,,1000000.0,1000000.0,प्रभाग क्रं.31 ड कर्वेनगर मधील पावसाळी लाईन साफ करणे व चेंबर दुरुस्त करणे
2017-18,CE20E101/SF1-187,31,ड,,1000000.0,1000000.0,प्रभाग क्रं.31 ड कर्वेनगर शाहु कॅालनी येथील पावसाळी लाईन साफ करणे
2017-18,CE20E101/SF1-188,31,ड,,1000000.0,1000000.0,प्रभाग क्रं.31 ड कर्वेनगर हिंगणे होम कॅालनी व इतर परिसरामध्ये पावसाळी लाईन करणे
2017-18,CE20E101/SF1-189,32,क,,1000000.0,1000000.0,"प्रभाग क्र.32क, विविध ठिकाणी पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-190,33,अ,,4000000.0,4000000.0,"प्रभाग क्रं.33 अ वडगाव बु.निवृत्तीनगर, चरवडवाडी, घुलेनगर, भैरवनगर मंदिर, विविध भागा रेनवॉटर लाईन टाकणे."
2017-18,CE20E101/SF1-191,33,अ,,1000000.0,1000000.0,"प्रभाग क्रं.33 अ वडगाव बुद्रुक जाधवनगर, गोसावी वस्ती, विकासनगर, रायगडनगर, शांतीनगर येथे पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-192,33,अ,,1000000.0,1000000.0,"प्रभाग क्रं.33 अ वडगाव बुद्रुक हॅपी कॉलनी, किर्तीनगर, रेणुकानगरी, हगवणेनगर, दांगट गार्डन परिसरात पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-193,33,अ,,1700000.0,1700000.0,"प्रभाग क्रं.33 अ वडगाव गावठाण, पाऊजाईनगर, तोरणानगर, यशोदाकृष्ण बंगला परिसरात पावसाळी लाईन विकसित करणे."
2017-18,CE20E101/SF1-194,33,अ,,1000000.0,1000000.0,"प्रभाग क्रं.33 अ जुना हायवे टोलनाका, दांगटपाटीलनगर, पाऊजाई मंदिर मागील भाग, आशिर्वाद हॉटेल परिसर, समर्थनगर परिसरात पावसाळी लाईन विकसित करणे."
2017-18,CE20E101/SF1-195,33,ब,,1000000.0,1000000.0,"प्रभाग क्र.33 ब, वडगांव बु.परिसरात पावसाळी साफसफाई करणे व दुरूस्ती करणे."
2017-18,CE20E101/SF1-196,33,ब,,1000000.0,1000000.0,"प्रभाग क्र.33 ब, अभिरूची मॉल ( भिडेवस्ती ) पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-197,33,क,,1000000.0,1000000.0,"प्रभाग क्र.33 क, मध्ये चरवडवस्ती परिसरात विविध ठिकाणी पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-198,33,क,,1000000.0,1000000.0,"प्रभाग क्र.33 क, मध्ये कॉलेज रोड परिसरात विविध ठिकाणी पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-199,33,क,,1000000.0,1000000.0,"प्रभाग क्र.33 क, मध्ये वडगाव बु.परिसरातील पावसाळी लाईन साफ करणे व दुरूस्ती करणे"
2017-18,CE20E101/SF1-200,33,ड,,2000000.0,2000000.0,"प्रभाग क्र.33ड, मध्ये भिडेवाडी परिसरात पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-201,34,अ,,1000000.0,1000000.0,"प्रभाग क्र.34 अ, हिंगणे चौक ते गोयल गंगा पर्यंत मुख्य रस्त्यावरील व पावसाळी चेंबर दुरूस्त करणे व जाळ्या चेंबर कव्हर बदलणे."
2017-18,CE20E101/SF1-202,34,क,,1000000.0,1000000.0,प्रभाग क्र.34 क मध्ये स्टार गार्डन ते सौरभ गार्डन परिसरात पावसाळी गटार करणे
2017-18,CE20E101/SF1-203,34,क,,1000000.0,1000000.0,प्रभाग क्र.34 क मध्ये विठ्ठल पार्क परिसरात पावसाळी गटार करणे
2017-18,CE20E101/SF1-204,34,क,,1000000.0,1000000.0,प्रभाग क्र.34 क मध्ये समर्थ पार्क परिसरात पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-205,34,क,,1000000.0,1000000.0,प्रभाग क्र.34 क मध्ये आनंदनगर परिसरात पावसाळी लाईन विषयक कामे करणे
2017-18,CE20E101/SF1-206,34,क,,1000000.0,1000000.0,प्रभाग क्र.34 क मध्ये विविध ठिकाणी पावसाळी लाईन विषयक कामे करणे
2017-18,CE20E101/SF1-207,34,ड,,1000000.0,1000000.0,"प्रभाग क्र.34 ड, एकतानगरी परिसरामध्ये विविध ठिकाणी पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-208,34,ड,,1000000.0,1000000.0,"प्रभाग क्र.34 ड, आनंदनगर परिसरामध्ये विविध ठिकाणी पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-209,34,ड,,1000000.0,1000000.0,"प्रभाग क्र.34 ड, सन एम्पायर परिसरामध्ये विविध ठिकाणी पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-210,34,ड,,1000000.0,1000000.0,"प्रभाग क्र.34 ड, भाऊसाहेब चरवडनगर परिसरामध्ये विविध ठिकाणी पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-211,34,ड,,1000000.0,1000000.0,"प्रभाग क्र.34 ड, शशितारा विहार परिसरामध्ये विविध ठिकाणी पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-212,34,ड,,1000000.0,1000000.0,"प्रभाग क्र.34 ड, सुंदर गार्डन, कुदळे पाटील टाऊनशिप परिसरामध्ये विविध ठिकाणी पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-213,35,अ,,2000000.0,2000000.0,"प्रभाग क्र.35 अ, विविध ठिकाणी पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-214,36,अ,,1000000.0,1000000.0,"प्रभाग क्र.36 अ, मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-215,36,क,,1000000.0,1000000.0,"प्रभाग क्र.36 क, मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-216,36,ड,,1000000.0,1000000.0,"प्रभाग क्र.36 ड,मध्ये संगम सोसायटी परिसरातील पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-217,37,अ,,1000000.0,1000000.0,"प्रभाग क्र.37 अ, पावसाळी लाईनची तद्‌नुषंगिक कामे करणे."
2017-18,CE20E101/SF1-218,37,ब,,1000000.0,1000000.0,"प्रभाग क्र.37 ब, जागडेनगर ते पुष्पम कॉलनी मेनरोड पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-219,37,ब,,1000000.0,1000000.0,"प्रभाग क्र.37 ब, विविध ठिकाणी मेनरोड पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-220,38,अ,,1000000.0,1000000.0,"प्रभाग क्र.38 अ, येथे पावसाळी लाईन साफसफाई करणे दुरूस्ती करणे."
2017-18,CE20E101/SF1-221,38,अ,,1000000.0,1000000.0,"प्रभाग क्र.38 अ, विविध ठिकाणी स्ट्रॉम वॉटर लाईन टाकणे"
2017-18,CE20E101/SF1-222,38,ब,,1000000.0,1000000.0,"प्रभाग क्र.38 ब, शेलारमळा गुजरवस्ती परिसरात पावसाळी गटार टाकणे"
2017-18,CE20E101/SF1-223,38,ब,,1000000.0,1000000.0,"प्रभाग क्र.38 ब, राजस सोसायटी परिसरात पावसाळी गटार टाकणे"
2017-18,CE20E101/SF1-224,38,ब,,1000000.0,1000000.0,"प्रभाग क्र.38 ब, उत्कर्ष सोसायटी परिसरात जुने पावसाळी चेंबर काढून नवीन लाईन टाकणे"
2017-18,CE20E101/SF1-225,38,ड,,1000000.0,1000000.0,"प्रभाग क्र.38ड, मधील चिंतामणी हॉटेल मागील रस्त्यावर पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-226,40,अ,,500000.0,500000.0,"प्रभाग क्र. 40अ, मध्ये संतोषनगर गल्ली क्र.7 येथे पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-227,40,क,,1000000.0,1000000.0,"प्रभाग क्र. 40क, दत्तविहार सोसायटी ते धीरज इंजिनिअरींग रोड पावसाळी लाईन टाकणे व तद्‌नुषंगिक कामे करणे."
2017-18,CE20E101/SF1-228,40,ड,,5000000.0,5000000.0,"प्रभाग क्र. 40ड, अंजलीनगर परिसरात पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-229,40,ड,,2000000.0,2000000.0,"प्रभाग क्र. 40ड, कात्रज संतोषनगर एम.आय.टी.परिसरात स्ट्रॉम वॉटर लाईन टाकणे"
2017-18,CE20E101/SF1-230,40,ड,,2000000.0,2000000.0,"प्रभाग क्र. 40ड, मातोश्री मित्र मंडळ दत्तनगर गवळीवाडा येथे पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-231,40,ड,,5000000.0,5000000.0,"प्रभाग क्र. 40ड, संतोषनगर अंजलीनगर अमोल बोबे यांच्या घराजवळ स्ट्रॉम वॉटर लाईन टाकणे."
2017-18,CE20E101/SF1-232,41,अ,,5000000.0,5000000.0,"प्रभाग क्र. 41 अ, कोंढवा बु.गोकुळनगर कात्रज परिसरामध्ये विविध ठिकाणी पावसाळी लाईन टाकणे व रस्ते विकसित करणे."
2017-18,CE20E101/SF1-233,10,,,1000000.0,1000000.0,"प्रभाग क्रं.10 मध्ये पावसाळी चेंबर्स दुरुस्ती व ड्रेनेज,पावसाळी लाईनची साफसफाई करणे"
2017-18,CE20E101/SF1-234,10,,,1000000.0,1000000.0,प्रभाग क्रं.10 मध्ये भुसारी बावधन इ.ठिकाणी पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-235,10,,,1000000.0,1000000.0,प्रभाग क्रं.10 मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-236,12,क,,1000000.0,1000000.0,प्रभाग क्रं.12 कुमार परिसरामध्ये मधील पावसाळी लाईन साफ करणे व पावसाळी चेंबर्स दुरुस्ती करणे
2017-18,CE20E101/SF1-237,12,क,,1000000.0,1000000.0,"प्रभाग क्रं.12 कोथरुड गावठाण मधील पावसाळी लाईन साफ सफाई करणे, ड्रेनेज लाईन दुरुस्ती करणे व चेंबर्स दुरुस्ती करणे"
2018-19,CE20E101/SF1-301,1,ब,,1000000.0,1000000.0,"प्रभाग क्र.1ब,मध्ये विश्रांतवाडी येथे विविध ठिकाणी पावसाळी लाईन टाकणे व दुरूस्ती करणे"
2018-19,CE20E101/SF1-302,1,ब,,1000000.0,1000000.0,"प्रभाग क्र.1ब,मध्ये धानोरी येथे पावसाळी लाईन टाकणे व दुरूस्ती करणे"
2018-19,CE20E101/SF1-303,1,ब,,1000000.0,1000000.0,"प्रभाग क्र.1ब,मध्ये कळस येथे पावसाळी लाईन टाकणे व दुरूस्ती करणे"
2018-19,CE20E101/SF1-304,3,ब,,1000000.0,1000000.0,"प्रभाग क्र.3 ब, मधील मोठया व्यासाची पावसाळी लाईन टाकणे व ओपन नाला जेटिंग मशीन व स्पायडर मशिनच्या सहाय्याने साफ करणे."
2018-19,CE20E101/SF1-305,5,ड,,1000000.0,1000000.0,"प्रभाग क्र.5ड,मध्ये जेटींग मशीनच्या सहाय्याने स्पायडर मशीन स्क्रब मशीन सहाय्याने पावसाळी लाईन साफसफाई करणे व मजूर पुरविणे"
2018-19,CE20E101/SF1-306,6,क,,1000000.0,1000000.0,"प्रभाग क्र.6क,मध्ये विविध ठिकाणच्या पावसाळी लाईन,मॅनहोल, चेंबर गाळ काढणे इ.कामे चॅम्पियन मशिन सक्शन मशिन व जेटिंग मशिनच्या सहाय्याने करणे."
2018-19,CE20E101/SF1-307,6,क,,1000000.0,1000000.0,"प्रभाग क्र.6क,मध्ये लक्ष्मीनगर, अशोकनगर,जयजवान नगर,मदर तेरेसा परिसरात पावसाळी लाईन मॅनहोल चेंबर गाळ काढणे इ.कामे चॅम्पियन मशिन सक्शन मशिन व जेटिंग मशिनच्या सहाय्याने करणे."
2018-19,CE20E101/SF1-308,7,अ,,1000000.0,1000000.0,"प्रभाग क्र.7अ,मध्ये आर.सी.सी.पावसाळी झाकण बदलणे व दुरूस्ती करणे."
2018-19,CE20E101/SF1-309,8,अ,,1000000.0,1000000.0,"प्रभाग क्र.8अ,मधील विविध ठिकाणी पावसाळी लाईन दुरूस्ती व साफसफाई करणे."
2018-19,CE20E101/SF1-310,8,क,,1000000.0,1000000.0,"प्रभाग क्र.8क, औंध बोपोडी परिसरामध्ये पावसाळी लाईन टाकणे"
2018-19,CE20E101/SF1-311,8,क,,1000000.0,1000000.0,"प्रभाग क्र.8क,मध्ये औंध भागामध्ये विविध ठिकाणी पावसाळी लाईन टाकणे."
2018-19,CE20E101/SF1-312,10,ब,,1000000.0,1000000.0,"प्रभाग क्र.10ब,हरीप्लाझा सोसायटी ते कृष्णलिला सोसायटी व महात्मा परिसर येथे पावसाळी लाईन टाकणे"
2018-19,CE20E101/SF1-313,10,ब,,1000000.0,1000000.0,"प्रभाग क्र.10ब,विविध ठिकाणी पावसाळी लाईन टाकणे"
2018-19,CE20E101/SF1-314,10,क,,1000000.0,1000000.0,"प्रभाग क्र.10क,मध्ये मोकाटेनगर परिसरात पावसाळी लाईन टाकणे"
2018-19,CE20E101/SF1-315,10,क,,1000000.0,1000000.0,"प्रभाग क्र.10क,मध्ये शांतीबन सोसायटी परिसरात पावसाळी लाईन टाकणे"
2018-19,CE20E101/SF1-316,10,क,,1000000.0,1000000.0,"प्रभाग क्र.10क,मध्ये वृंदावन सोसायटी परिसरात पावसाळी लाईन टाकणे"
2018-19,CE20E101/SF1-317,10,ड,,1000000.0,1000000.0,"प्रभाग क्र.10ड,बावधन-कोथरूड डेपो अंतर्गत एकलव्य कॉलेज परिसरात पावसाळी लाईन टाकणे"
2018-19,CE20E101/SF1-318,11,अ,,1000000.0,1000000.0,प्रभाग क्र. 11 अ मध्ये सोसायट्या परिसरात विविध ठिकाणी मोठ्या व्यासाच्या पावसाळी लाईन टाकणे.
2018-19,CE20E101/SF1-319,11,ड,,1000000.0,1000000.0,"प्रभाग क्र.11 ड,मध्ये विविध ठिकाणी तसेच सुतारदरा मुख्य रस्ता ते क्रांतीसेना कमान तसेच गल्ली क्र.9 व गल्ली क्र.14 येथील पावसाळी लाईन बदलणे."
2018-19,CE20E101/SF1-320,11,ड,,1000000.0,1000000.0,"प्रभाग क्र.11 ड, येथे विविध ठिकाणी तसेच अनंतकृपा सोसायटी परिसरामध्ये पावसाळी लाईन टाकणे व सिमेंट कॉक्रीटीकरण करणे"
2018-19,CE20E101/SF1-321,12,अ,,1000000.0,1000000.0,"प्रभाग क्र.12 अ, स.नं.88 येथील पावसाळी लाईन दुरूस्ती करणे व साफसफाई करणे"
2018-19,CE20E101/SF1-322,12,अ,,1000000.0,1000000.0,"प्रभाग क्र.12 अ, कोथरूड गावठाण येथे नवीन पावसाळी लाईन टाकणे व साफसफाई करणे"
2018-19,CE20E101/SF1-323,12,अ,,1000000.0,1000000.0,"प्रभाग क्र.12 अ, तेजसनगर येथील पावसाळी लाईन देखभाल दुरूस्ती विषयक कामे करणे व नव्याने लाईन टाकणे"
2018-19,CE20E101/SF1-324,12,अ,,1000000.0,1000000.0,"प्रभाग क्र.12 अ, विविध ठिकाणी रस्त्यामधील खाली गेलेली पावसाळी चेंबर समपातळीवर उचलणे तसेच चेंबर कव्हर बदलणे"
2018-19,CE20E101/SF1-325,12,ब,,1000000.0,1000000.0,प्रभाग क्र. 12 ब मधील विविध ठिकाणच्या पावसाळी लाईन साफ करणे.
2018-19,CE20E101/SF1-326,13,ड,,1000000.0,1000000.0,प्रभाग क्र. 13 ड मधील हॅपी कॉलनी लेन नं 1 ते कोकण एक्सप्रेस येथे पावसाळी गटार करणे.
2018-19,CE20E101/SF1-327,13,ड,,1000000.0,1000000.0,प्रभाग क्र. 13 ड मधील विविध ठिकाणी पावसाळी गटारे बांधणे.
2018-19,CE20E101/SF1-328,14,अ,,1000000.0,1000000.0,प्रभाग क्र. 14 अ मधील विविध ठिकाणी पावसाळी लाईन साफ सफाई करणे.
2018-19,CE20E101/SF1-329,14,ड,,500000.0,500000.0,"प्रभाग क्र.14 ड, मध्ये विविध ठिकाणच्या पावसाळी लाईन दुरस्ती विषयक कामे करणे."
2018-19,CE20E101/SF1-330,15,अ,,1000000.0,1000000.0,"प्रभाग क्र.15अ,मध्ये नारायण पेठ व प्रभागात विविध ठिकाणी पावसाळी लाईन टाकणे व तद्नुषंगिक कामे करणे."
2018-19,CE20E101/SF1-331,15,ब,,1000000.0,1000000.0,प्रभाग क्र. 15 ब मधील शनिवार पेठ मधील उभा शनिवार रस्ता येथे पावसाळी लाईन टाकणे व तदनुषंगिक कामे करणे.
2018-19,CE20E101/SF1-332,15,ब,,1000000.0,1000000.0,प्रभाग क्र. 15 ब मधील बाजीराव रोड ते वाडीया हॉस्पिटल रस्ता येथे पावसाळी लाईन टाकणे व तदनुषंगिक कामे करणे.
2018-19,CE20E101/SF1-333,15,ब,,1000000.0,1000000.0,प्रभाग क्र. 15 ब मधील पिकॉक हॉटेल ते वाडीया हॉस्पिटल दरम्यान पावसाळी लाईन टाकणे व तदनुषंगिक कामे करणे.
2018-19,CE20E101/SF1-334,15,ब,,1000000.0,1000000.0,प्रभाग क्र. 15 ब मधील सेवा मित्र मंडळ ते चिंचेची तालीम दरम्यान व प्रभागात इतरत्र पावसाळी लाईन टाकणे.
2018-19,CE20E101/SF1-335,15,ब,,1000000.0,1000000.0,प्रभाग क्र. 15 ब मधील सरस्वती विद्या मंदिर ते काळा हौद चौक दरम्यान पावसाळी लाईन टाकणे.
2018-19,CE20E101/SF1-336,15,ड,,1000000.0,1000000.0,प्रभाग क्र. 15 ड मधील नारायण पेठ व प्रभागात विविध ठिकाणी पावसाळी लाईन टाकणे व तदनुषंगिक कामे करणे.
2018-19,CE20E101/SF1-337,16,अ,,1000000.0,1000000.0,प्रभाग क्र. 16 अ मधील जावळे चौक ते श्रीकृष्ण चौक पावसाळी लाईन टाकणे.
2018-19,CE20E101/SF1-338,16,क,,1000000.0,1000000.0,प्रभाग क्र. 16 क मधील विविध ठिकाणी पावसाळी गटार बांधणे.
2018-19,CE20E101/SF1-339,16,क,,200000.0,200000.0,प्रभाग क्र. 16 क मधील दारुवाला पूल चौकीसमोर पावसाळी गटार बांधणे.
2018-19,CE20E101/SF1-340,16,क,,400000.0,400000.0,"प्रभाग क्र. 16 क मधील 512 कसबा पेठ, कालभेरव मंदिराशेजारी बोलाट बसविणे, 413 ते 415 कसबा पेठ येथे फरशी बसविणे, दारुवाला पोलिस चौकी समोर पावसाळी गटार करणे."
2018-19,CE20E101/SF1-341,17,अ,,1000000.0,1000000.0,प्रभाग क्र. 17 अ मधील विविध ठिकाणी पावसाळी लाईन टाकणे.
2018-19,CE20E101/SF1-342,17,ब,,1000000.0,1000000.0,प्रभाग क्र. 17 ब मधील स्वामी समर्थ मंदिर ते डावरे चौक परिसरात पावसाळी लाईन टाकणे.
2018-19,CE20E101/SF1-343,17,ब,,1000000.0,1000000.0,प्रभाग क्र. 17 ब मधील तपकीर गल्ली व परिसरात पावसाळी लाईन टाकणे.
2018-19,CE20E101/SF1-344,17,ड,,1000000.0,1000000.0,प्रभाग क्र. 17 ड मधील देवजीबाबा ते दगडी नागोबा पावसाळी लाईन टाकणे.
2018-19,CE20E101/SF1-345,18,ब,,1000000.0,1000000.0,प्रभाग क्र. 18 ब मधील लोहिया नगर पोलिस चौकी ते जानाई मळा पर्यंतचा नवीन पावसाळी लाईन करणे व दुरुस्तीविषयक कामे करणे.
2018-19,CE20E101/SF1-346,18,ब,,1000000.0,1000000.0,प्रभाग क्र. 18 ब मधील लहुजी वस्ताद चौक ते जानाई मळ्यापर्यंतचा नवीन पावसाळी लाईन करणे.
2018-19,CE20E101/SF1-347,18,ब,,1000000.0,1000000.0,"प्रभाग क्र. 18 ब मधील रविवार पेठ, शुक्रवार पेठ परिसरात नवीन पावसाळी लाईन करणे."
2018-19,CE20E101/SF1-348,18,क,,1500000.0,1500000.0,प्रभाग क्र. 18 क मधील विविध ठिकाणी पावसाळी लाईन टाकणे किंवा दुरुस्ती करणे व कॉंक्रिट करणे व तदनुषंगिक कामे करणे.
2018-19,CE20E101/SF1-349,18,ड,,1500000.0,1500000.0,प्रभाग क्र. 18 ड मधील पावसाळी लाईन विकसित करणे.
2018-19,CE20E101/SF1-350,18,ड,,1500000.0,1500000.0,प्रभाग क्र. 18 ड मधील पानघंटी चौक ते राष्ट्रभूषण चौकापर्यंत पावसाळी लाईन टाकणे व लोखंडी चेंबर्स बसविणे.
2018-19,CE20E101/SF1-351,18,ड,,1500000.0,1500000.0,प्रभाग क्र. 18 ड मधील सिंहराज मित्र मंडळ व शिवराज मित्र मंडळ येथे पावसाळी लाईन टाकणे व तदनुषंगिक कामे करणे.
2018-19,CE20E101/SF1-352,18,ड,,1000000.0,1000000.0,प्रभाग क्र. 18 ड मधील टिंबर मार्केट परिसरामध्ये पावसाळी लाईन विकसित करणे.
2018-19,CE20E101/SF1-353,19,ब,,2000000.0,2000000.0,प्रभाग क्र. 19 ब मधील विविध ठिकाणी पावसाळी लाईन टाकणे व इतर तदनुषंगिक कामे करणे.
2018-19,CE20E101/SF1-354,19,क,,1000000.0,1000000.0,प्रभाग क्र. 19 क मधील पावसाळी लोखंडी जाळी बदलणे.
2018-19,CE20E101/SF1-355,20,अ,,1000000.0,1000000.0,"प्रभाग क्र. 20 अ मधील रास्ता पेठ, नाना पेठ, परिसरातील व विविध ठिकाणी पावसाळी लाईन चेंबर साफसफाई तसेच नाले स्पायडर मशिनच्या सहाय्याने करणे."
2018-19,CE20E101/SF1-356,20,ब,,1000000.0,1000000.0,प्रभाग क्र. 20 ब मधील विविध ठिकाणी पावसाळी लाईन टाकणे.
2018-19,CE20E101/SF1-357,20,क,,1000000.0,1000000.0,प्रभाग क्र. 20 क मधील विविध ठिकाणी रस्ते विकसित करणे व पावसाळी लाईन टाकणे व तदनुषंगिक कामे करणे.
