fy,code,prabhag,prabhag_sub,ward_col,amount_rs,provision_rs,work_name
2016-17,CE20E101/SF1-34,40,अ,40,2000000.0,2000000.0,प्रभाग क्र. ४० अ मध्ये ४३३ जुनी जिल्हा परिषद ते नरपतगीरी चौक पावसाळी लाईन टाकणे व तदनुषंगीक कामे करणे
2016-17,CE20E101/SF1-35,40,अ,40,1000000.0,1000000.0,प्रभाग क्र. ४० अ मध्ये विविध ठिकाणी पावसाळी लाईन साफ करणे
2016-17,CE20E101/SF1-36,40,ब,40,2000000.0,2000000.0,प्रभाग क्र.४० ब मध्ये रमेश फर्निचर ते वाय.एम.सी.ए. पर्यत पावसाळी लाईन टाकणे.
2016-17,CE20E101/SF1-37,40,ब,40,1000000.0,1000000.0,प्रभाग क्र.४० ब मध्ये पॉवर हाऊस ते कादरभाई चौक पावसाळी लाईन टाकणे.
2016-17,CE20E101/SF1-38,41,अ,41,2000000.0,2000000.0,प्रभाग क्र.४१ अ विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-39,42,अ,42,2000000.0,2000000.0,प्रभाग क्र. ४२ अ मध्ये गरूड वस्ती मध्ये पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-40,43,अ,43,1000000.0,1000000.0,प्रभाग क्र. ४३ अ मध्ये पंधरा नंबर सावंताच्या घरापासून पावसाळी लाईन विकसित करणे
2016-17,CE20E101/SF1-41,46,अ,46,1000000.0,1000000.0,प्रभाग क्र. ४६ अ रामटेकडी येथील पावसाळी लाईन दुरुस्ती करणे व चेंबर साफ करणे
2016-17,CE20E101/SF1-42,47,ब,47,1500000.0,1500000.0,प्रभाग क्र. ४७ ब विविध ठिकाणी पावसाळी लाईन टाकणे.
2016-17,CE20E101/SF1-43,48,अ,48,3000000.0,3000000.0,प्रभाग क्र. ४८ अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-44,48,ब,48,1000000.0,1000000.0,प्रभाग क्र. ४८ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-45,49,अ,49,3000000.0,3000000.0,प्रभाग क्र.४९ अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे.
2016-17,CE20E101/SF1-46,50,अ,50,1000000.0,1000000.0,प्रभाग क्र. ५० अ मध्ये शुक्रवार पेठ शिंदे आळी चौक ते उमरदंड चौक या ठिकाणी पावसाळी लार्इन टाकणे
2016-17,CE20E101/SF1-47,50,अ,50,1000000.0,1000000.0,प्रभाग क्र. ५० अ मध्ये बुधवार पेठ परिसरात पावसाळी लार्इन टाकणे
2016-17,CE20E101/SF1-48,50,अ,50,500000.0,500000.0,प्रभाग क्र. ५० अ मध्ये सदाशिव पेठ काटे बाग गल्ली या ठिकाणी पावसाळी लार्इन टाकणे
2016-17,CE20E101/SF1-49,50,अ,50,1000000.0,1000000.0,"प्रभाग क्र. ५० अ मध्ये सदाशिव पेठ नागनाथ पार, रिध्दी सिध्दी गणपती ते लज्जत हॉटेल या ठिकाणी पावसाळी लार्इन टाकणे"
2016-17,CE20E101/SF1-50,52,अ,52,1000000.0,1000000.0,प्रभाग क्र.५२ अ विविध ठिकाणी पावसाळी लाईनचे चेंबर दुरूस्ती व बदलणे
2016-17,CE20E101/SF1-51,53,ब,53,1500000.0,1500000.0,प्रभाग क्र. ५३ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-52,53,ब,53,1500000.0,1500000.0,"प्रभाग क्र. ५३ ब मध्ये सरितानगरी, नवश्या मारुती परिसरात विविध ठिकाणी पावसाळी लाईन टाकणे"
2016-17,CE20E101/SF1-53,54,अ,54,1500000.0,1500000.0,प्रभाग क्र.५४ अ मध्ये पावसाळी लाईन टाकणे.
2016-17,CE20E101/SF1-54,58,अ,58,2000000.0,2000000.0,प्रभाग क्र. ५८ अ मधील शुक्रवार पेठेमध्ये सुभाषनगर परिसरामध्ये पावसाळी लाईन टाकणे.
2016-17,CE20E101/SF1-55,58,ब,58,1000000.0,1000000.0,प्रभाग क्र. ५८ ब हिराबाग चौक ते देशमुख हॉस्पिटल रस्ता पावसाळी लाईन टाकणे.
2016-17,CE20E101/SF1-56,59,ब,59,1000000.0,1000000.0,प्रभाग क्र.५९ ब मध्ये बंद पडलेली पावसाळी लार्इन विविध ठिकाणी नवीन टाकणे व दुरूस्ती विषयक कामे करणे
2016-17,CE20E101/SF1-57,61,अ,61,3000000.0,3000000.0,"प्रभाग क्र. ६१अ सह्याद्री पार्क, आनंद पुरम इ. परिसरात पावसाळी नलिका विकसित करणे"
2016-17,CE20E101/SF1-58,62,अ,62,1000000.0,1000000.0,"प्रभाग क्र. ६२ अ कोंढवा बु! मध्ये,विविध ठिकाणी पावसाळी लाईन टकाणे."
2016-17,CE20E101/SF1-59,62,ब,62,2000000.0,2000000.0,प्रभाग क्र.62 ब कोंढवा बु.मधील परिसरात विविध ठिकाणी पावसाळी लार्इन टाकणे
2016-17,CE20E101/SF1-60,63,अ,63,1000000.0,1000000.0,प्रभाग क्र. ६३ अ मध्ये चेंबर दुरूस्ती व पावसाळी लाईन दुरूस्ती करणे
2016-17,CE20E101/SF1-61,63,अ,63,1000000.0,1000000.0,प्रभाग क्र. ६३ अ मध्ये कुमार पृथ्वी ते युनिटी पार्क येथे पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-62,63,ब,63,2000000.0,2000000.0,प्रभाग क्र.६३ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-63,64,ब,64,1000000.0,1000000.0,प्र.क्र. ६४ ब मध्ये गोल्डन बेकरी ते पुनावाला गार्डन पावसाळी लाईन दुरूस्ती करणे.
2016-17,CE20E101/SF1-64,65,अ,65,1000000.0,1000000.0,प्रभाग क्र. ६५ अ मनपा कॉलनी क्र. ८ व ९ मध्ये पावसाळी ड्रेनेज लाईन टाकणे
