fy,table,sheet,sr,col0_wardnumbers,ward_office,account_code,dept,amount_lakh
2016-17,WardOfficePlan,WardOfficePlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,119.0
2016-17,WardOfficePlan,WardOfficePlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,49.0
2016-17,WardOfficePlan,WardOfficePlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,14.0
2016-17,WardOfficePlan,WardOfficePlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,14.0
2016-17,WardOfficePlan,WardOfficePlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,7.0
2016-17,WardOfficePlan,WardOfficePlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,36.4
2016-17,WardOfficePlan,WardOfficePlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,45.5
2016-17,WardOfficePlan,WardOfficePlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,54.6
2016-17,WardOfficePlan,WardOfficePlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,14.0
2016-17,WardOfficePlan,WardOfficePlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,17.5
2016-17,WardOfficePlan,WardOfficePlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,67.9
2016-17,WardOfficePlan,WardOfficePlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,91.69999999999999
2016-17,WardOfficePlan,WardOfficePlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,49.0
2016-17,WardOfficePlan,WardOfficePlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,54.6
2016-17,WardOfficePlan,WardOfficePlan16,,,धनकवडी क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,52.5
2016-17,WardOfficePlan,WardOfficePlan16,,,धनकवडी क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,24.5
2016-17,WardOfficePlan,WardOfficePlan16,,,धनकवडी क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,धनकवडी क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,धनकवडी क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,धनकवडी क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,28.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कोंढवा वानवडी क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कोंढवा वानवडी क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कोंढवा वानवडी क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कोंढवा वानवडी क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कोंढवा वानवडी क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कोंढवा वानवडी क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,317.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,115.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,149.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,116.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,108.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,60.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,36.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,72.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
