zone_no,zone_name,zone_code,fiscal_year,measure,amount_rs_thousand,amount_rs_lakh,line_present_in_book,source_book,source_page,source_url
IV,Tondiarpet,ND,2015-2016,RE,0,0.00,yes,be2016-17.pdf,78,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
V,Royapuram,NE,2015-2016,RE,0,0.00,yes,be2016-17.pdf,80,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
VI,Thiru-Vi-Ka Nagar,NF,2015-2016,RE,0,0.00,yes,be2016-17.pdf,82,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
VII,Ambattur,NG,2015-2016,RE,0,0.00,yes,be2016-17.pdf,84,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
VIII,Anna Nagar,NH,2015-2016,RE,0,0.00,yes,be2016-17.pdf,86,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
IX,Teynampet,NJ,2015-2016,RE,0,0.00,yes,be2016-17.pdf,88,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
X,Kodambakkam,NK,2015-2016,RE,0,0.00,yes,be2016-17.pdf,90,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XI,Valasaravakkam,NL,2015-2016,RE,0,0.00,yes,be2016-17.pdf,92,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XII,Alandur,NM,2015-2016,RE,0,0.00,yes,be2016-17.pdf,94,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XIII,Adyar,NN,2015-2016,RE,0,0.00,yes,be2016-17.pdf,96,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XIV,Perungudi,NP,2015-2016,RE,0,0.00,yes,be2016-17.pdf,98,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XV,Sholinganallur,NQ,2015-2016,RE,0,0.00,yes,be2016-17.pdf,100,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
I,Thiruvottiyur,NA,2016-2017,BE,20000,200.00,yes,be2016-17.pdf,72,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
II,Manali,NB,2016-2017,BE,30000,300.00,yes,be2016-17.pdf,74,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
III,Madhavaram,NC,2016-2017,BE,20000,200.00,yes,be2016-17.pdf,76,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
IV,Tondiarpet,ND,2016-2017,BE,60000,600.00,yes,be2016-17.pdf,78,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
V,Royapuram,NE,2016-2017,BE,30000,300.00,yes,be2016-17.pdf,80,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
VI,Thiru-Vi-Ka Nagar,NF,2016-2017,BE,30000,300.00,yes,be2016-17.pdf,82,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
VII,Ambattur,NG,2016-2017,BE,20000,200.00,yes,be2016-17.pdf,84,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
VIII,Anna Nagar,NH,2016-2017,BE,40000,400.00,yes,be2016-17.pdf,86,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
IX,Teynampet,NJ,2016-2017,BE,40000,400.00,yes,be2016-17.pdf,88,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
X,Kodambakkam,NK,2016-2017,BE,30000,300.00,yes,be2016-17.pdf,90,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XI,Valasaravakkam,NL,2016-2017,BE,30000,300.00,yes,be2016-17.pdf,92,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XII,Alandur,NM,2016-2017,BE,40000,400.00,yes,be2016-17.pdf,94,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XIII,Adyar,NN,2016-2017,BE,30000,300.00,yes,be2016-17.pdf,96,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XIV,Perungudi,NP,2016-2017,BE,30000,300.00,yes,be2016-17.pdf,98,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
XV,Sholinganallur,NQ,2016-2017,BE,30000,300.00,yes,be2016-17.pdf,100,https://chennaicorporation.gov.in/budget/Budget_2016-17/Budget%20Estimate%202016-2017.pdf
I,Thiruvottiyur,NA,2015-2016,ACTUAL,14250,142.50,yes,cap2017-18.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
II,Manali,NB,2015-2016,ACTUAL,24785,247.85,yes,cap2017-18.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
III,Madhavaram,NC,2015-2016,ACTUAL,31280,312.80,yes,cap2017-18.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
IV,Tondiarpet,ND,2015-2016,ACTUAL,51448,514.48,yes,cap2017-18.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
V,Royapuram,NE,2015-2016,ACTUAL,46785,467.85,yes,cap2017-18.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
VI,Thiru-Vi-Ka Nagar,NF,2015-2016,ACTUAL,29600,296.00,yes,cap2017-18.pdf,63,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
VII,Ambattur,NG,2015-2016,ACTUAL,9034,90.34,yes,cap2017-18.pdf,66,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
VIII,Anna Nagar,NH,2015-2016,ACTUAL,40016,400.16,yes,cap2017-18.pdf,68,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
IX,Teynampet,NJ,2015-2016,ACTUAL,38030,380.30,yes,cap2017-18.pdf,70,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
X,Kodambakkam,NK,2015-2016,ACTUAL,19973,199.73,yes,cap2017-18.pdf,72,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XI,Valasaravakkam,NL,2015-2016,ACTUAL,28599,285.99,yes,cap2017-18.pdf,74,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XII,Alandur,NM,2015-2016,ACTUAL,39199,391.99,yes,cap2017-18.pdf,76,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XIII,Adyar,NN,2015-2016,ACTUAL,32866,328.66,yes,cap2017-18.pdf,78,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XIV,Perungudi,NP,2015-2016,ACTUAL,34825,348.25,yes,cap2017-18.pdf,80,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XV,Sholinganallur,NQ,2015-2016,ACTUAL,24912,249.12,yes,cap2017-18.pdf,82,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
I,Thiruvottiyur,NA,2016-2017,RE,20000,200.00,yes,cap2017-18.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
II,Manali,NB,2016-2017,RE,40000,400.00,yes,cap2017-18.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
III,Madhavaram,NC,2016-2017,RE,30000,300.00,yes,cap2017-18.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
IV,Tondiarpet,ND,2016-2017,RE,60000,600.00,yes,cap2017-18.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
V,Royapuram,NE,2016-2017,RE,50000,500.00,yes,cap2017-18.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
VI,Thiru-Vi-Ka Nagar,NF,2016-2017,RE,30000,300.00,yes,cap2017-18.pdf,63,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
VII,Ambattur,NG,2016-2017,RE,20000,200.00,yes,cap2017-18.pdf,66,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
VIII,Anna Nagar,NH,2016-2017,RE,80000,800.00,yes,cap2017-18.pdf,68,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
IX,Teynampet,NJ,2016-2017,RE,60000,600.00,yes,cap2017-18.pdf,70,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
X,Kodambakkam,NK,2016-2017,RE,50000,500.00,yes,cap2017-18.pdf,72,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XI,Valasaravakkam,NL,2016-2017,RE,30000,300.00,yes,cap2017-18.pdf,74,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XII,Alandur,NM,2016-2017,RE,60000,600.00,yes,cap2017-18.pdf,76,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XIII,Adyar,NN,2016-2017,RE,30000,300.00,yes,cap2017-18.pdf,78,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XIV,Perungudi,NP,2016-2017,RE,50000,500.00,yes,cap2017-18.pdf,80,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XV,Sholinganallur,NQ,2016-2017,RE,50000,500.00,yes,cap2017-18.pdf,82,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
I,Thiruvottiyur,NA,2017-2018,BE,20000,200.00,yes,cap2017-18.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
II,Manali,NB,2017-2018,BE,22500,225.00,yes,cap2017-18.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
III,Madhavaram,NC,2017-2018,BE,7500,75.00,yes,cap2017-18.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
IV,Tondiarpet,ND,2017-2018,BE,15000,150.00,yes,cap2017-18.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
V,Royapuram,NE,2017-2018,BE,10000,100.00,yes,cap2017-18.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
VI,Thiru-Vi-Ka Nagar,NF,2017-2018,BE,89100,891.00,yes,cap2017-18.pdf,63,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
VII,Ambattur,NG,2017-2018,BE,24500,245.00,yes,cap2017-18.pdf,66,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
VIII,Anna Nagar,NH,2017-2018,BE,250000,2500.00,yes,cap2017-18.pdf,68,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
IX,Teynampet,NJ,2017-2018,BE,150000,1500.00,yes,cap2017-18.pdf,70,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
X,Kodambakkam,NK,2017-2018,BE,55000,550.00,yes,cap2017-18.pdf,72,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XI,Valasaravakkam,NL,2017-2018,BE,13000,130.00,yes,cap2017-18.pdf,74,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XII,Alandur,NM,2017-2018,BE,15000,150.00,yes,cap2017-18.pdf,76,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XIII,Adyar,NN,2017-2018,BE,10000,100.00,yes,cap2017-18.pdf,78,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XIV,Perungudi,NP,2017-2018,BE,15000,150.00,yes,cap2017-18.pdf,80,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
XV,Sholinganallur,NQ,2017-2018,BE,10000,100.00,yes,cap2017-18.pdf,82,https://chennaicorporation.gov.in/budget/Budget_2017-18/capital.pdf
I,Thiruvottiyur,NA,2016-2017,ACTUAL,19625,196.25,yes,cap2018-19.pdf,53,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
II,Manali,NB,2016-2017,ACTUAL,37369,373.69,yes,cap2018-19.pdf,55,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
III,Madhavaram,NC,2016-2017,ACTUAL,24810,248.10,yes,cap2018-19.pdf,57,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
IV,Tondiarpet,ND,2016-2017,ACTUAL,59939,599.39,yes,cap2018-19.pdf,59,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
V,Royapuram,NE,2016-2017,ACTUAL,43144,431.44,yes,cap2018-19.pdf,61,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
VI,Thiru-Vi-Ka Nagar,NF,2016-2017,ACTUAL,27099,270.99,yes,cap2018-19.pdf,63,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
VII,Ambattur,NG,2016-2017,ACTUAL,9785,97.85,yes,cap2018-19.pdf,65,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
VIII,Anna Nagar,NH,2016-2017,ACTUAL,79940,799.40,yes,cap2018-19.pdf,67,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
IX,Teynampet,NJ,2016-2017,ACTUAL,58697,586.97,yes,cap2018-19.pdf,69,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
X,Kodambakkam,NK,2016-2017,ACTUAL,49293,492.93,yes,cap2018-19.pdf,71,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XI,Valasaravakkam,NL,2016-2017,ACTUAL,29387,293.87,yes,cap2018-19.pdf,73,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XII,Alandur,NM,2016-2017,ACTUAL,57826,578.26,yes,cap2018-19.pdf,75,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XIII,Adyar,NN,2016-2017,ACTUAL,29994,299.94,yes,cap2018-19.pdf,77,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XIV,Perungudi,NP,2016-2017,ACTUAL,39206,392.06,yes,cap2018-19.pdf,79,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XV,Sholinganallur,NQ,2016-2017,ACTUAL,30081,300.81,yes,cap2018-19.pdf,81,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
I,Thiruvottiyur,NA,2017-2018,RE,9000,90.00,yes,cap2018-19.pdf,53,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
II,Manali,NB,2017-2018,RE,7500,75.00,yes,cap2018-19.pdf,55,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
III,Madhavaram,NC,2017-2018,RE,7500,75.00,yes,cap2018-19.pdf,57,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
IV,Tondiarpet,ND,2017-2018,RE,30000,300.00,yes,cap2018-19.pdf,59,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
V,Royapuram,NE,2017-2018,RE,20000,200.00,yes,cap2018-19.pdf,61,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
VI,Thiru-Vi-Ka Nagar,NF,2017-2018,RE,45000,450.00,yes,cap2018-19.pdf,63,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
VII,Ambattur,NG,2017-2018,RE,10000,100.00,yes,cap2018-19.pdf,65,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
VIII,Anna Nagar,NH,2017-2018,RE,90000,900.00,yes,cap2018-19.pdf,67,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
IX,Teynampet,NJ,2017-2018,RE,60000,600.00,yes,cap2018-19.pdf,69,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
X,Kodambakkam,NK,2017-2018,RE,70000,700.00,yes,cap2018-19.pdf,71,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XI,Valasaravakkam,NL,2017-2018,RE,70000,700.00,yes,cap2018-19.pdf,73,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XII,Alandur,NM,2017-2018,RE,17500,175.00,yes,cap2018-19.pdf,75,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XIII,Adyar,NN,2017-2018,RE,75000,750.00,yes,cap2018-19.pdf,77,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XIV,Perungudi,NP,2017-2018,RE,80000,800.00,yes,cap2018-19.pdf,79,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XV,Sholinganallur,NQ,2017-2018,RE,12000,120.00,yes,cap2018-19.pdf,81,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
I,Thiruvottiyur,NA,2018-2019,BE,20000,200.00,yes,cap2018-19.pdf,53,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
II,Manali,NB,2018-2019,BE,10000,100.00,yes,cap2018-19.pdf,55,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
III,Madhavaram,NC,2018-2019,BE,30000,300.00,yes,cap2018-19.pdf,57,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
IV,Tondiarpet,ND,2018-2019,BE,20000,200.00,yes,cap2018-19.pdf,59,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
V,Royapuram,NE,2018-2019,BE,30000,300.00,yes,cap2018-19.pdf,61,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
VI,Thiru-Vi-Ka Nagar,NF,2018-2019,BE,45000,450.00,yes,cap2018-19.pdf,63,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
VII,Ambattur,NG,2018-2019,BE,0,0.00,yes,cap2018-19.pdf,65,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
VIII,Anna Nagar,NH,2018-2019,BE,50000,500.00,yes,cap2018-19.pdf,67,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
IX,Teynampet,NJ,2018-2019,BE,20000,200.00,yes,cap2018-19.pdf,69,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
X,Kodambakkam,NK,2018-2019,BE,40000,400.00,yes,cap2018-19.pdf,71,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XI,Valasaravakkam,NL,2018-2019,BE,10000,100.00,yes,cap2018-19.pdf,73,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XII,Alandur,NM,2018-2019,BE,20000,200.00,yes,cap2018-19.pdf,75,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XIII,Adyar,NN,2018-2019,BE,10000,100.00,yes,cap2018-19.pdf,77,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XIV,Perungudi,NP,2018-2019,BE,20000,200.00,yes,cap2018-19.pdf,79,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
XV,Sholinganallur,NQ,2018-2019,BE,20000,200.00,yes,cap2018-19.pdf,81,https://chennaicorporation.gov.in/budget/Budget_2018-19/CAPITAL.pdf
I,Thiruvottiyur,NA,2017-2018,ACTUAL,1090,10.90,yes,glance2019-20.pdf,50,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
II,Manali,NB,2017-2018,ACTUAL,5151,51.51,yes,glance2019-20.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
III,Madhavaram,NC,2017-2018,ACTUAL,7490,74.90,yes,glance2019-20.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
IV,Tondiarpet,ND,2017-2018,ACTUAL,30456,304.56,yes,glance2019-20.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
V,Royapuram,NE,2017-2018,ACTUAL,14735,147.35,yes,glance2019-20.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2017-2018,ACTUAL,15345,153.45,yes,glance2019-20.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
VII,Ambattur,NG,2017-2018,ACTUAL,0,0.00,no,glance2019-20.pdf,,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
VIII,Anna Nagar,NH,2017-2018,ACTUAL,70764,707.64,yes,glance2019-20.pdf,64,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
IX,Teynampet,NJ,2017-2018,ACTUAL,46231,462.31,yes,glance2019-20.pdf,66,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
X,Kodambakkam,NK,2017-2018,ACTUAL,46351,463.51,yes,glance2019-20.pdf,68,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XI,Valasaravakkam,NL,2017-2018,ACTUAL,58793,587.93,yes,glance2019-20.pdf,71,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XII,Alandur,NM,2017-2018,ACTUAL,13455,134.55,yes,glance2019-20.pdf,73,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XIII,Adyar,NN,2017-2018,ACTUAL,55506,555.06,yes,glance2019-20.pdf,75,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XIV,Perungudi,NP,2017-2018,ACTUAL,15594,155.94,yes,glance2019-20.pdf,77,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XV,Sholinganallur,NQ,2017-2018,ACTUAL,11643,116.43,yes,glance2019-20.pdf,79,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
I,Thiruvottiyur,NA,2018-2019,RE,3000,30.00,yes,glance2019-20.pdf,50,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
II,Manali,NB,2018-2019,RE,5000,50.00,yes,glance2019-20.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
III,Madhavaram,NC,2018-2019,RE,30000,300.00,yes,glance2019-20.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
IV,Tondiarpet,ND,2018-2019,RE,20000,200.00,yes,glance2019-20.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
V,Royapuram,NE,2018-2019,RE,20000,200.00,yes,glance2019-20.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2018-2019,RE,40000,400.00,yes,glance2019-20.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
VII,Ambattur,NG,2018-2019,RE,0,0.00,no,glance2019-20.pdf,,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
VIII,Anna Nagar,NH,2018-2019,RE,5000,50.00,yes,glance2019-20.pdf,64,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
IX,Teynampet,NJ,2018-2019,RE,10000,100.00,yes,glance2019-20.pdf,66,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
X,Kodambakkam,NK,2018-2019,RE,40000,400.00,yes,glance2019-20.pdf,68,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XI,Valasaravakkam,NL,2018-2019,RE,7000,70.00,yes,glance2019-20.pdf,71,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XII,Alandur,NM,2018-2019,RE,10000,100.00,yes,glance2019-20.pdf,73,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XIII,Adyar,NN,2018-2019,RE,7500,75.00,yes,glance2019-20.pdf,75,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XIV,Perungudi,NP,2018-2019,RE,1000,10.00,yes,glance2019-20.pdf,77,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XV,Sholinganallur,NQ,2018-2019,RE,3000,30.00,yes,glance2019-20.pdf,79,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
I,Thiruvottiyur,NA,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,50,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
II,Manali,NB,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
III,Madhavaram,NC,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
IV,Tondiarpet,ND,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
V,Royapuram,NE,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
VII,Ambattur,NG,2019-2020,BE,0,0.00,no,glance2019-20.pdf,,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
VIII,Anna Nagar,NH,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,64,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
IX,Teynampet,NJ,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,66,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
X,Kodambakkam,NK,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,68,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XI,Valasaravakkam,NL,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,71,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XII,Alandur,NM,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,73,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XIII,Adyar,NN,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,75,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XIV,Perungudi,NP,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,77,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
XV,Sholinganallur,NQ,2019-2020,BE,20000,200.00,yes,glance2019-20.pdf,79,https://chennaicorporation.gov.in/budget/Budget_2019-20/Budget_at_glance.pdf
I,Thiruvottiyur,NA,2018-2019,ACTUAL,2039,20.39,yes,cap2020-21.pdf,47,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
