zone_no,zone_name,zone_code,fiscal_year,measure,amount_rs_thousand,amount_rs_lakh,line_present_in_book,source_book,source_page,source_url
IV,Tondiarpet,ND,2013-2014,BE,15000,150.00,yes,bb2013-14.pdf,50,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
V,Royapuram,NE,2013-2014,BE,15000,150.00,yes,bb2013-14.pdf,51,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
VI,Thiru-Vi-Ka Nagar,NF,2013-2014,BE,10000,100.00,yes,bb2013-14.pdf,52,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
VII,Ambattur,NG,2013-2014,BE,20000,200.00,yes,bb2013-14.pdf,53,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
VIII,Anna Nagar,NH,2013-2014,BE,30000,300.00,yes,bb2013-14.pdf,54,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
IX,Teynampet,NJ,2013-2014,BE,10000,100.00,yes,bb2013-14.pdf,55,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
X,Kodambakkam,NK,2013-2014,BE,10000,100.00,yes,bb2013-14.pdf,56,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
XI,Valasaravakkam,NL,2013-2014,BE,30000,300.00,yes,bb2013-14.pdf,57,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
XII,Alandur,NM,2013-2014,BE,30000,300.00,yes,bb2013-14.pdf,58,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
XIII,Adyar,NN,2013-2014,BE,20000,200.00,yes,bb2013-14.pdf,59,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
XIV,Perungudi,NP,2013-2014,BE,20000,200.00,yes,bb2013-14.pdf,60,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
XV,Sholinganallur,NQ,2013-2014,BE,10000,100.00,yes,bb2013-14.pdf,61,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
I,Thiruvottiyur,NA,2012-2013,ACTUAL,22851,228.51,yes,bb2014-15.pdf,47,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
II,Manali,NB,2012-2013,ACTUAL,6661,66.61,yes,bb2014-15.pdf,48,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
III,Madhavaram,NC,2012-2013,ACTUAL,7682,76.82,yes,bb2014-15.pdf,49,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
IV,Tondiarpet,ND,2012-2013,ACTUAL,8450,84.50,yes,bb2014-15.pdf,50,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
V,Royapuram,NE,2012-2013,ACTUAL,11892,118.92,yes,bb2014-15.pdf,51,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
