pdf_page,functionary_code,functionary_name,gl_code,cost_centre,work_name,revised_est,budget_est
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600200,1000100000,HO - M.S. MS 50 50 cegK³eeue³e-ce.ve.Hee.meef®eJe,50,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600320,1000100000,HO - M.S. MS 300 300 cegK³eeue³e-ce.ve.Hee.meef®eJe,300,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600610,1000100000,HO - M.S. MS 100 100 cegK³eeue³e-ce.ve.Hee.meef®eJe,100,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,1000100000,HO - M.S. MS 25 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,1000100000,HO - M.S. MS ... 100 cegK³eeue³e-ce.ve.Hee.meef®eJe,100,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,1000100000,HO - M.S. MS ...,100,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,1000100000,HO - M.S. MS 50 cegK³eeue³e-ce.ve.Hee.meef®eJe,50,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,1000100000,HO - M.S. MS 50 cegK³eeue³e-ce.ve.Hee.meef®eJe,50,
8,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600300,1000100000,HO - M.S. MS 300,300,
8,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,1000100000,HO - M.S. MS 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
8,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,1000100000,HO - M.S. MS ... 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
8,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,1000100000,HO - M.S. MS ...,25,
8,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,1000100000,HO - M.S. MS ... 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
8,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,1000100000,HO - M.S. MS ... 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
9,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,1000100000,HO - M.S. MS ...,25,
9,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,1000100000,HO - M.S. MS ...,25,
9,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,1000100000,HO - M.S. MS ...,25,
9,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,1000100000,HO - M.S. MS 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
9,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,1000100000,HO - M.S. MS ... 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
10,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,1000100000,HO - M.S. MS ...,25,
10,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,1000100000,HO - M.S. MS ... 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
10,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,1000100000,HO - M.S. MS ...,25,
10,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,1000100000,HO - M.S. MS ...,25,
10,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,1000100000,HO - M.S. MS ... 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
11,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,1000100000,HO - M.S. MS ... 50 cegK³eeue³e-ce.ve.Hee.meef®eJe,50,
11,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,1000100000,HO - M.S. MS ...,50,
11,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,1000100000,HO - M.S. MS ... 50 cegK³eeue³e-ce.ve.Hee.meef®eJe,50,
11,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,1000100000,HO - M.S. MS 50 cegK³eeue³e-ce.ve.Hee.meef®eJe,50,
11,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,1000100000,HO - M.S. MS ...,25,
12,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,1000100000,HO - M.S. MS ...,100,
12,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,1000100000,HO - M.S. MS ...,100,
12,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,1000100000,HO - M.S. MS ...,100,
12,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,1000100000,HO - M.S. MS 100 cegK³eeue³e-ce.ve.Hee.meef®eJe,100,
12,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,1000100000,HO - M.S. MS ... 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4050100000,"A, B & E W.C.- M.S. MS ...",10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4040100000,C & D W.C.- M.S. MS ... 10 meerr DeeefCe [er Òe.meefceleer-ce.me.,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4060100000,MS ...,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4080100000,G/South W.C.- M.S. MS ... 10 peer /oef#eCe Òe.meefceleer - ce.me.,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4090100000,G/North W.C.- M.S. MS ... 10 peer /Gllej Òe.meefceleer - ce.me.,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4110100000,MS ...,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4120100000,K/East W.C.- M.S. MS ... 10 kesÀ/HetJe& Òe.meefceleer - ce.me.,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4130100000,K/West W.C.- M.S. MS ...,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4140100000,P/South W.C.- M.S. MS ... 10 Heer/oef#eCe Òe.meefceleer - ce.me.,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4150100000,P/North W.C.- M.S. MS 10 Heer/Gllej Òe.meefceleer - ce.me.,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4160100000,R/South W.C.- M.S. MS ...,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4180100000,MS ...,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4190100000,L W.C.- M.S. MS ...,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4200100000,M/E W.C.- M.S. MS ... 10 Sce/HetJe& Òe.meefceleer-ce.me.,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4210100000,M/W W.C.- M.S. MS ...,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4220100000,N W.C.- M.S. MS ...,10,
13,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,4240100000,S & T W.C.- M.S. MS ... 10 Sme DeeefCe ìer Òe.meefceleer-ce.me.,10,
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4050100000,"A, B & E W.C.- M.S. MS ...",...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4040100000,C & D W.C.- M.S. MS ... 10 meerr DeeefCe [er Òe.meefceleer-ce.me.,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4060100000,MS ...,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4080100000,G/South W.C.- M.S. MS ...,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4090100000,G/North W.C.- M.S. MS ... 10 peer /Gllej Òe.meefceleer - ce.me.,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4110100000,MS ...,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4120100000,K/East W.C.- M.S. MS ...,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4130100000,K/West W.C.- M.S. MS ... 10 kesÀ/Heefµ®ece Òe.meefceleer - ce.me.,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4140100000,P/South W.C.- M.S. MS 10 Heer/oef#eCe Òe.meefceleer - ce.me.,,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4150100000,P/North W.C.- M.S. MS ...,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4160100000,R/South W.C.- M.S. MS ... 10 Deej/oef#eCe Òe.meefceleer - ce.me.,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4180100000,MS ...,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4190100000,L W.C.- M.S. MS ...,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4200100000,M/E W.C.- M.S. MS ... 10 Sce/HetJe& Òe.meefceleer-ce.me.,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4210100000,M/W W.C.- M.S. MS ... 10 Sce/Heefµ®ece Òe.meefceleer-ce.me.,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4220100000,N W.C.- M.S. MS ...,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,4240100000,S & T W.C.- M.S. MS ...,...,10
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4050100000,"A, B & E W.C.- M.S. MS ...",...,25
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4040100000,C & D W.C.- M.S. MS 25 meerr DeeefCe [er Òe.meefceleer - ce.me.,,25
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4060100000,MS ...,...,25
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4080100000,G/South W.C.- M.S. MS ... 25 peer /oef#eCe Òe.meefceleer - ce.me.,...,25
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4090100000,G/North W.C.- M.S. MS ...,...,25
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4110100000,MS ...,...,25
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4120100000,K/East W.C.- M.S. MS ...,...,25
14,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4130100000,K/West W.C.- M.S. MS ... 25 kesÀ/Heefµ®ece Òe.meefceleer - ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4140100000,P/South W.C.- M.S. MS ... 25 Heer/oef#eCe Òe.meefceleer - ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4150100000,P/North W.C.- M.S. MS ...,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4160100000,R/South W.C.- M.S. MS ... 25 Deej/oef#eCe Òe.meefceleer - ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4180100000,MS ...,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4190100000,L W.C.- M.S. MS ... 25 S} Òe.meefceleer - ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4200100000,M/E W.C.- M.S. MS ...,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4210100000,M/W W.C.- M.S. MS ... 25 Sce/Heefµ®ece Òe.meefceleer-ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4220100000,N W.C.- M.S. MS ...,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,4240100000,S & T W.C.- M.S. MS ... 25 Sme DeeefCe ìer Òe.meefceleer-ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4050100000,"A, B & E W.C.- M.S. MS ...",...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4040100000,C & D W.C.- M.S. MS 25 meerr DeeefCe [er Òe.meefceleer - ce.me.,,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4060100000,MS ...,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4080100000,G/South W.C.- M.S. MS ... 25 peer /oef#eCe Òe.meefceleer - ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4090100000,G/North W.C.- M.S. MS ...,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4110100000,MS ...,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4120100000,K/East W.C.- M.S. MS ... 25 kesÀ/HetJe& Òe.meefceleer - ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4130100000,K/West W.C.- M.S. MS ... 25 kesÀ/Heefµ®ece Òe.meefceleer - ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4140100000,P/South W.C.- M.S. MS ...,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4150100000,P/North W.C.- M.S. MS ... 25 Heer/Gllej Òe.meefceleer - ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4160100000,R/South W.C.- M.S. MS ... 25 Deej/oef#eCe Òe.meefceleer - ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4180100000,MS ...,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4190100000,L W.C.- M.S. MS ... 25 S} Òe.meefceleer - ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4200100000,M/E W.C.- M.S. MS ... 25 Sce/HetJe& Òe.meefceleer-ce.me.,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4210100000,M/W W.C.- M.S. MS ...,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4220100000,N W.C.- M.S. MS ...,...,25
15,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,4240100000,S & T W.C.- M.S. MS ... 25 Sme DeeefCe ìer Òe.meefceleer-ce.me.,...,25
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4050100000,"A, B & E W.C.- M.S. MS ... 10 S,yeer DeeefCe F Òe.meefceleer-ce.me.",...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4040100000,C & D W.C.- M.S. MS ... 10 meerr DeeefCe [er Òe.meefceleer - ce.me.,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4060100000,MS ...,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4080100000,G/South W.C.- M.S. MS 10 peer /oef#eCe Òe.meefceleer - ce.me.,,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4090100000,G/North W.C.- M.S. MS ...,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4110100000,MS ...,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4120100000,K/East W.C.- M.S. MS ...,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4130100000,K/West W.C.- M.S. MS ...,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4140100000,P/South W.C.- M.S. MS ...,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4150100000,P/North W.C.- M.S. MS ... 10 Heer/Gllej Òe.meefceleer - ce.me.,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4160100000,R/South W.C.- M.S. MS ... 10 Deej/oef#eCe Òe.meefceleer - ce.me.,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4180100000,MS ...,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4190100000,L W.C.- M.S. MS ... 10 S} Òe.meefceleer - ce.me.,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4200100000,M/E W.C.- M.S. MS 10 Sce/HetJe& Òe.meefceleer-ce.me.,,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4210100000,MS 10 Sce/Heefµ®ece Òe.meefceleer-ce.me.,,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4220100000,N W.C.- M.S. MS ...,...,10
16,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,4240100000,S & T W.C.- M.S. MS ...,...,10
17,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600301,1000100000,HO - M.S. MS 50,50,
17,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600610,1000100000,HO - M.S. MS ...,100,
17,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,1000100000,HO - M.S. MS ...,25,
17,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700100,1000100101,Mayor's Bunglow -M.S. MS ...,1000,
17,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,1000100000,HO - M.S. MS ... 50 cegK³eeue³e-ce.ve.Hee.meef®eJe,50,
17,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,1000100000,HO - M.S. MS ... 100 cegK³eeue³e-ce.ve.Hee.meef®eJe,100,
