fy,ward,rs_crore,raw
2017-18,Nikol,0.2,✧   rlftuj Jtuzobtk sw>e-sw>e søgtyu z[ulus jtEl yvd{uz fhJtLþk ftb Yt.0.20 fhtuzlt Fauo fhJtbtk ytJNu.
2017-18,Nikol,0.15,✧      rlftuj Jtuzobtk nhe>Nol ath hM<t <&t CdJ<e ldhlt Atvht Jmtn<btk z[ulus jtEl yvd{uz fhJtLþk ftb Yt.0.15 fhtuzlt Fauo fhJtbtk ytJNu.
2017-18,Odhav,0.68,✧      ytuZJ Jtuzobtk ytJuj Atuxtjtj le atje &e ytuZJ <¤tJ mw^e <&t yLg søgtyu Mx[tub Jtuxh jtRl ltFJtlwk ftb Yt.0.68 fhtuzlt Fauo fhJtbtk y
2017-18,Vatva,0.43,✧   JxJt Jtuzobtk bntjûbe <¤tJ &e Juxefl mexe &R ©æ^tfkws mtumtgxe mw^e Yt.0.43 fhtuzlt Fauo z[ulus jtRl ltkFJtle ftbdehe ntjbtk atjw Au.
2017-18,Gota,0.85,✧      Yt.0.85 fhtuzlt Fauo dtu<t Jtuzobtk xe.ve.-32 rJM<th <&t mtgLm rmxe rJM<th <&t atKfgvwhe rJM<thbtk Mx[tub Jtuxh jtRl ltkFe fuavex clt
2017-18,Jodhpur,0.38,✧     Yt.0.38 fhtuzlt Fauo lJt vrùbÍtullt stu^vwh Jtuzobtk ytJuj swœt-swœt xe.ve hM<t Wvh swœe-swœe søgtyu Mx[tubJtuxh z[ulusjtRl / z[ulusjt
2017-18,Sarkhej,0.14,"✧     Yt.0.14 fhtuzlt Fauo mhFus Jtuzobt mhFus dtb<¤btk swwœt-swœt rJM<thbtk (ykctS bt<tlt bkrœhJt¤e dje, c{nb vt¤, ykswblldh) <&t yLg hM<t "
2017-18,Ghatlodia,0.15,✧   Yt.0.15 fhtuzlt Fauo Dtxjtuzegt Jtuzobtk xe.ve.1 <&t 2 rJM<thbtk swœe-swœe søGttyu sYhegt< bwsc z[ulus jtRl ltkFJtlwk ftb
2017-18,Vatva,6.5,2.1 MðŠý{ ßÞkr‚ {wÏÞ{kºte þnuhe rðftË Þtus™t nuX¤™t {wÏÞ ft{tu ÃËKo &guj ftb ✾     œrûtK Ítulltk JxJt Jtuzobtk lJtKt vkv´d MxuNlle htRÍekd j
2017-18,Lambha,5.0,73 Ë™u 2017-18 y{ŒtðtŒ BÞwr™rË…÷ ftu…tuohuþ™ ✾     œrûtK Ítullt dti<bldh ath hM<t&e cnuhtbvwht ath hM<t mw^ele ngt< J»ttuo swle z[ulus jtRll
2017-18,Sarkhej,11.0,74 Ë™u 2017-18 y{ŒtðtŒ BÞwr™rË…÷ ftu…tuohuþ™ ytgtusl nuX¤lt ftbtu ✾     W•th Ítullt bKegth xujh&e ctvwldh ath hM<t mw^ele mwyus jtRllu henuc
2017-18,Nikol,6.5,3.1 MðŠý{ ßÞkr‚ {wÏÞ{kºte þnuhe rðftË Þtus™t nuX¤™t {wÏÞ ft{tu ÃËKo &guj ftb ❀     W•th Ítullt mhmvwh Jtuzobtk hrFgtj &e dtuœtle mfoj mw^ele
2017-18,Naroda,15.0,83 Ë™u 2017-18 y{ŒtðtŒ BÞwr™rË…÷ ftu…tuohuþ™ ntjbtk atÕþ ftbtule rJd< ❀      vrμb Ítullt jFwze <¤tJ &e beXtF¤e yLzhvtm mw^ele ngt< Mxtpb Jtu
2017-18,Chandkheda,13.0,✧         ytu„uo™ef ¾u‚ …uŒtþ™u «tuíËtn™ : ytuduolef Fu< vu>tNlu «tuðmtnl ytvJtlt Wb>t nuðþ&e htßg mhfth îtht btLg<t «tÃ< Fuzq<tu <uytule Fu
2018-19,Dariapur,8.0,"ytdtbe J»tolt BþÏg ftbtule gt>e : Yt.8.00 fhtuzlt bægÍtul lt sbtjvwh , Ftrzgt, Ntnectd,Ntnvwh rJM<thbtk buEl x[kf z[ulus jtEl xu[Lajum xufle"
2018-19,Dariapur,0.95,Yt.0.95 fhtuzlt Fauo bægÍtul ymthJt Jtuzobtk mcÍtulj ytuVem cltJJle ftbdehe. Yt.0.75 fhtuzlt bægÍtul >rhgtÃþh Jtuzobtk ytJuj >rhgtÃþh ftuBGþ
2018-19,Naranpura,11.65,…rù{ Ítu™ atjw ftbtule gt>e : 5rùb Ítullt sw>t sw>t Jtuzolt hemhVuEm <&t vÚ&h vuJ´d btxu Yt.11.65 fhtuzlt ftbtu ntjbtk atÕþ Au. 5rùb Ítullt 
2018-19,Chandkheda,0.35,mtchb<e Jtuzobtk ytJuj mc Ítulj ytuVem <&t nuÕ& Ft<tle yturVmtu <&t Jtuzole sYhegt< bwscltu ltltu ftuLVhLm ntuj suJe mJj< mt&u Yt.35.00 jtFl
2018-19,Sardarnagar,0.7,W¥th Ítu™ atjw ftbtule gt>e : mhœthldh Jtuzobtk Yt.70.00 jtFlt Fauo ßgtur< huMxtuhLx &e ChJtzJtm mw^eltu hM<tu he- d{uz fhe he-mhVum fhuj Au
2018-19,Sardarnagar,0.6,ytdtbe J»tolt BþÏg ftbtule gt>e : mhœthldh Jtuzobtk Yt.60.00 jtFlt Faou ntubdtzo buœtlJt¤tu hM<tu he-d{uz fhe hemhVum fhJt ytgtusl fhuj Au. 
2018-19,Ramol-Hathijan,0.25,ytdtbe J»tolt BþÏg ftbtule gt>e : Yt.25.00 jtFlt Fauo vqJoÍtullt ybhtRÔttze JtuzoBtt hcthe ftujtule Jmtn<lt rJM<thbt htuz hemhVum fhJtlt ftb
2018-19,Ramol-Hathijan,0.25,Yt.25.00 jtFlt Fauo JMºttj Jtuzobtk ytJuj swœt-swœt buEl xe.ve. htuzlu zMx £e fhJt htuzle cLlu ctswyu Vwxvt& fhJtlt ftb Yt.33.00 jtFlt Fauo 
2018-19,Gomtipur,0.5,Yt.50.00 jtFlt Fauo dtub<evwh Jtuzolt swlt dtub<evwh <&t swlt htsvwh ylu swlt hrFgtj rJM<thbtk swœe-swœe søgtyu <&t yLg søgtytuyu nuJe vuaJf
2018-19,Behrampura,0.52,JxJt Jtuzobtk (1) rldb z[ulus vkved &e yth.fu.vtl vtjoh &R ve.ze.vkzgt atufXt mw^e (2) mœtle^tce &e cece<¤tJ mw^e (3) rldb z[ulus vkved &e <
2018-19,Behrampura,12.96,ytdtbe J»tolt BþÏg ftbtule gt>e : œrûtKÍtullt swœt-swœt Jtuzolt htuz hemhVuEm <&t v•&h vuJ´d btxu Yt.12.96 fhtuzle Vt¤JKe fhJtbtk ytJuj Au. 
2018-19,Vatva,0.77,EL÷vwhe JtuzoBttk htbhtßgldh &e mwhujegt mfoj &R mfhect dtzol mw^e <&t <ulu ytlw»ttkdef swœt-swœt hM<tle 450 be.be. Ôgtmle Yt.0.77 fhtuzlt F
2018-19,Chandlodiya,0.54,atkœjtuzegt Jtuzobtk Jkœubt<hb mexe vtmule ctswlt Ãjtux (xe.ve.-33 yuV.ve.-142) btk dtzol zuJjv fhJtlwkwk ftb <ubs dtu<t Jtuzobtk Yt.0.54 fh
2018-19,Chandlodiya,0.3,mhFus Jtuzobtk Yt.0.30 fhtuzlt Fauo swœe-swœe søgtyu vtKele ze.ytR jtRl ltkFJtlt <&t sYhe buELxulLm fhJtlt ftb ylu stu^vwh Jtuzobtk Yt.0.05 
