fy,ward,rs_crore,raw
2022-23,India Colony,1.89,"+     ytdtbe J»tolt BþÏg ftbtule gt>e : ^     Yt.1.89 fhtuz lt Fauo W•thÍtul RrLzgt ftujtule Jtuzobtk swœt-swœt xe.ve.htuz Wvh vtKele jtRl, "
2022-23,Sardarnagar,2.5,^     Yt.2.50 fhtuz lt Fauo ltlt rajtuzt rJM<thbtk ytizt îtht lkFtguj swlt luxJfolu ftgoh< fhJt z[ulus jtRl zemeÕxele ftbdehe fhJt. ^     Yt
2022-23,Ramol-Hathijan,6.5,"+     ytdtbe J»tolt BþÏg ftbtule gt>e : ^     Yt.6.50 fhtuzlt Fauo rJhtxldh Jtuzobtk de<t dtihe vtmult xe.ve. lk. 49, hrFgtj (ÃËJo) yuV.ve. "
2022-23,Ramol-Hathijan,2.0,^     Yt.2.00 fhtuzlt Fauo rJhtxldh Jtuzobtk cuxe catJtu mfoj&e <usuL÷ vkv´d Mþ^ele Elfb´d vtEv jtEl btuxe fhJtLþk ftb. ^     Yt.2.00 fhtuzl
2022-23,Ramol-Hathijan,14.0,^     Yt.14.00 fhtuzlt Fauo rlftuj Jtuzobtk lJt mbtrJÐ fXJtztbtk Jtuxh zeMx[eçGþNl MxuNl cltJJt <&t luxJfo ltkFJtLþk ftb. ^     Yt.10.00 fht
2022-23,Behrampura,22.51,"Œrûtý Ítu™ +     «dr<lt ftbtule gt>e : ^     jtkkCt <&t JxJt Jtuzobtk Yt.22.51 fhtuzlt Fauo z[tVx xe.ve. 79, 58 (vtxo), 128 (vtxo) lt rJM<th"
2022-23,Behrampura,2.25,"^     JxJtJtuzobtk lJt mbtrJÐ jtkCt ÂJM<thlt xe.ve-58, yuV.ve.66 btk Yt 2.25 fhtuzlt Fauo cdeatu cltJJtle ftbdehe ntjbtk «dr<btk Au. (jtkCt "
2022-23,Chandlodiya,15.0,2.1 MðŠý{ ßÞkr‚ {wÏÞ{kºte þnuhe rðftË Þtus™t nuX¤™t {wÏÞ ft{tu «dr<lt ftb : ^      W•th vrùb Ítulbtk atkœjtuzegt Jtuzobtk lJwk z[ulus vkBvek
2022-23,Vastral,52.34,z[ulus jtRl (3) vrùb Ítulbtk cjtujldh ath hM<t&e R.zcÕgw.yum. nrh ytub ntWm´d mw^ele ngt< swle 1600 be.be.le yth.me.me. z[ulus jtRl <&t (4) 
2022-23,Gomtipur,45.0,à      þtneƒt„ fuLxtu™{uLx ¾t‚u 25 yu{.yu÷.ze. Ëwyhus xÙex{uLx Ã÷tLx : bæg Ítulbtk Ntnectd fuLxtulbuLx Ft<u 25 yub.yuj.ze. yum.xe.ve.le ftbd
2022-23,Behrampura,41.0,o      14{t ™týtk …k[™t ft{tu : «dr<lt ftb : ^      z[ulus «tusu¾x Ft<t îtht (1) yum.ve h´d htuz Wvh rJltuctCtJu ath vtmu &e rJkÍtuj vkv´d M
2022-23,Ramol-Hathijan,7.22,"2.3 ftu…tuohuþ™ Vkz nuX¤™t {wÏÞ ft{tu «dr<lt ftb : ^     W•th vrùb Ítulbtk dtu<t ylu ytudKs rJM<thle xeve 221, 54,55,228 <&t 236 btk z[ulus "
2022-23,Ghatlodia,20.0,"^     œrûtK vrùb Ítulbtk xe.ve.88,89 <ubs 201 btk Mþyus vkv´d MxuNl ylu mkjøl Mþyus luxJfole ftbdehe Yt.20.00 fhtuzLtt Fauo nt& ^huj Au. ^  "
2022-23,Nikol,33.0,^     vqJoÍtulbtk rlftuj Jtuzobtk Mx[tubo Jtuxh z[ulus luxJfo lktFJtlt Yt.33.00 fhtuzlt Faou ftbdehelwk ytgtusl fhuj Au.
2022-23,Naroda,9.78,"^     W•th Ítul lhtuzt Jtuzobtk nkmvwht xe.ve.75,121 yl 109 btk lJe Mx[tub Jtuxh z[ulus jtEl ltkFJtlt Yt.9.78 fhtuzlt Faou ftbdehelwk ytgtus"
2022-23,Sarkhej,50.0,^      ÃËJo Ítullt nrhJejt z[ulus vkv´d MxuNlle Lgw htEÍ´d jtEl ltkFJtlt 4.50 fhtuzlt Fauo ytgtusl fhuj Au. ^      ÃËJo Ítullt rf»Kt vtfo <&
2022-23,Chandlodiya,8.0,"^      W•th vr©b Ítullt atkœjtuzegt Jtuzobtk ytJuj xe.ve.-72,233 <&t xe.ve.-64 btk lJwk Mx[tub Jtuxh luxJfo ltFJtle ftbdehe ykœtS< Yt.8 fhtu"
2022-23,Vastral,30.0,^      vqJoÍtullt JMºttj Jtuzobtk swœt swœt ath vufusbtk Mxtubo Jtuxh z[uRl ltFJtlt ftblwk Yt.30 fhtuzlt ftbdehe Ítul Ft<u&e atjw Au.
2023-24,Dariapur,0.8,G       Yt.0.80 fhtuzlt Fauo >rhgtÃþh Jtuzobtk Ckzuhe vtu¤ <&t yLg sYhegt<Jt¤e søgtytubtk meMxubuxef z[ulus jtEl fhJt.
2023-24,Shahpur,0.7,G     Yt.0.70 fhtuzlt Fauo NtnÃþh Jtuzobtk ytJuj CøþCtEle atjebtk z[ulus jtEl yvd{uzuNl
2023-24,Shahpur,0.76,G     Yt.0.76 fhtuzlt Fauo NtnÃþh Jtuzobtk ytJuj fBþbegtle atjebtk z[ulus jtEl yvd{uzuNl fhJt.
2023-24,Dariapur,9.75,"G     Yt.9.75 fhtuzlt Fauo bægÍtullt Ntnectd Jtuzobtk 300 yub.yub., >rhgtÃþh Jtuzobtk 600 yub.yub. <&t Ftrzgt 900 yub.yub.le J»ttuo swle z[u"
2023-24,Chandkheda,10.0,G   vrµb Ítulltk atk>Fuzt Jtuzobtk xe.ve.44btk Mxtubo Jtuxh jtElLþk luxJfo ltkFe <¤tJ mt&u ELxhjekd fhJt ftb btxu yk>tsu Yt.10.00 fhtuzlt ft
2023-24,Navrangpura,3.0,G   vrùb Ítullt lJhkdÃþht Jtuzobtk øþjctE xufht rJM<th z[ulus jtEl <&t Mxtubo Jtuxh jtEl ltkFJtlt ftb btxu Yt.3.00 fhtuzlt ftblwk ytgtusl fh
2023-24,India Colony,0.75,"G   W•thÍtul RrLzgt ftujtule Jtuzobtk ytJuj (1) ze ftujtule htuz Wvh ytJuj rœÕjeJt¤e atje,vwyh fJtxom,juch fJtxom <&t ce.yth.xe.yum.htuz Wvh"
2023-24,Amraiwadi,0.6,G      vwJo Ítul lt ybhtRJtze Jtuzo btk htsvwh- dtub<evwh rJM<th btk ytJuj lJle< «ftN ath hM<t &e S-ftujtule &R cr¤gt ftft ath hM<t &e ytb{v
2023-24,Amraiwadi,0.45,"G      ybhtRJtze Jtuzo btk mðgb ldh rJM<th btk ytJuj zçct Jt¤e atje, ytklœ ldh, bkdj ldh,htb rf»Kt ldh <&t yLg swœe-swœe atje ytubtk z[ulus "
2023-24,Amraiwadi,0.45,"G      ybhtRJtze Jtuzobtk FtuFht rJM<thbtkk ftdtY mfoj&e htgvwh CSgt mw^elt htuz vh ytJuj ¢»Kle atje,sgk<eJfejle atje,«ubtWftle atje, ckdjt "
2023-24,Bhaipura,0.25,"G   CtEÃþht Jtuzobtk ht^tfeNl ldh, rJftmldh yÁKtldh <&t ^ehs ntWmekd- }r»tfuN ntWmed,Ítzw Jt¤tle atje ,RµhCwJtle atje, rNJldh yLg atjebtkz[u"
2023-24,Bhaipura,0.25,G   CtEÃþht Jtuzobtk m<t^th htuz Wvh 600 yub yub ztgt le jtRl <&tz[ulus he MxtuhuNl ylu z[ulus- yvd{uz fhJtlt ftb ctc< (Yt. 25.00 jtF)
2023-24,Bhaipura,0.25,"G   CtEÃþht Jtuzobtk lnuÁldh ltzegt Jtm WftCtR le atje, huNbcul le atje, Nfhecul le atje, sghtble atje, FtuFtJt¤e atje ,CdJ<eldh htuz, studu"
2023-24,Odhav,0.3,"G     vqJoÍtul ytuZJ Jtuzobtk dbt<¤ , hcthe Jmtn< <ubs Atuxtjtj rJM<thbtk swœe swœe søgtyu ngt< z[ulus jtRl yvd{uz fhJtlwk <ubs bNelntuj clt"
2023-24,Odhav,0.4,"G   vqJo Ítullt ytuZJ Jtuzobtk ytJuj xe.ve.1,2 <&t 3 rJM<thbtk Jhmtœe vtKelt leftj btxu sYhegt< bwsc Mx[tub Jtuxh jtRl ltkFJt, fuavex yvd{uz"
2023-24,Vastral,2.5,G   vqJo Ítul JMºttj Jtuzobtk vtufux-1 &e 4 rJM<thbtk <&t yLg rJM<thbtk swœe swœe søGttytuyu z[ulus jtRl yvd{uzuNl fhJtle <&t <ulu ytlwmtkde
2023-24,Lambha,20.92,"G     jtkCt Jtuzobtk swle lthtuj ftuxole vtA¤ ytJuj z[tVx xe.ve. Mfeblk. 59, 60, 61, 62, 63, 82 <ubs mkjøl rJM<thbtk Yt 20.92 fhtuzlt Fauo b"
2023-24,Chandlodiya,17.0,G      W•th vrµb Ítulbtk atkœjtuzegt Jtuzobtk lJwk z[ulus vkv´d MxuNl cltJJtle ftbdehe Yt.17 fhtuzlt Fauo
2023-24,Gomtipur,6.0,G     vqJo Ítul lt dtub<evwh Jtuzobtk ybhtRJtze z[ulus vkved MxuNl Mx[uL^l´d fhJtlwk ftb Yt.6.00 fhtuz Fauo
2023-24,Behrampura,41.0,G      y.Bgw.ftuvtuo lt z[ulus «tusu¾x Ft<t îtht (1) yum.ve hekd htuz Wvh rJltuctCtJu ath vtmu &e rJkÍtuj vkvekd MxuNl mw^e (2) cnuhtbvwht J
2023-24,Sardarnagar,42.64,"à       {æÞ Ítu™, …qðo Ítu™ ‚Útt W¥th Ítu™™e zÙu™us ÷tE™™wk rhnuƒer÷xuþ™ : bæg Ítulbtk rbÍtoÃþh &e C÷ &e dtgfJtz nJuje&e sbtjÃþh SPS fBvtWLz"
2023-24,Ramol-Hathijan,28.0,"G     vqJo Ítul-htbtuj nt&esK Jtuzobtk xe.ve. 94,95,96,78,73,92,93,90,91 btk z[ulus luxJfo Yt. 28 fhtuzlt Faou ltkFJt"
2023-24,Naroda,9.78,"G    W•th Ítul lhtuzt Jtuzobtk nkmvwht xe.ve. 75,121 ylu 109 btk lJe Mx[tub Jtuxh Yt.9.78 fhtuzlt Faou"
2023-24,Vastral,30.0,G    vqJo Ítullt JMºttj Jtuzobtk swœt-swœt ath vufusbtk Mxtubo Jtuxh z[uRl ltkFJtlt ftblwk Yt.30.00 fhtuzlt Fauo
2024-25,Shahpur,0.7,G     Yt.0.70 fhtuzlt Fauo NtnÃþh Jtuzobtk ytJuj CøþCtEle atjebtk z[ulus jtEl yvd{uzuNl fhJt.
2024-25,Shahpur,0.76,G     Yt.0.76 fhtuzlt Fauo NtnÃþh Jtuzobtk ytJuj fBþbegtle atjebtk z[ulus jtEl yvd{uzuNl fhJt.
2024-25,Stadium,278.77,G     Mxuzegb Jtuzobtk dtk^e yt©b r«meLfx zuJjtuvbuLx «tusufxle ftbdehe Yt.278.77 fhtuzlt Fauo ntjbtk atjw Au.ntjbtk 52% «tud{um &guj Au ylu
2024-25,Vasna,1.8,G     JtmKt Jtuzolt vrµb rJM<th he-zuJjtuv xe ve &Jt&e ngt< z[ulus/ Mx[tub Jtuxh z[ulus jtRl lJe jtRl ltFJtlt ftb Yt.1.80 fhtuzltu Fao fhJtL
2024-25,Vasna,5.0,G   JtmKt Jtuzobtk JiNtje xtWlNev &e yu.ve.yub.me.btfuox &E øþsht< ntEftuxo Mþ^e <&t rJsgath hM<t &e øþsht< ntEftuxo Mþ^e Jhmt>e vtKelt left
2024-25,Ranip,4.0,G   htKev Jtuzobtk swlt htKev rJM<thbtk BþÏg htuz Wvh ngt< z[ulus jtEl J»ttuo swle ntuE lJe z[ulus jtEl ltkFJtlt ftb Yt.4.00 fhtuzltu Fao fh
2024-25,Sabarmati,0.5,G   mtchb<e Jtuzobtk btuxuht ve.Je.yth &e ytuizt <¤tJ mw^e lJe Mx[tub Jtuxh jtRl ltkFJtlw ftb Yt.50.00 jtFltu Fao fhJtLþk ytgtusl fhuj Au.
2024-25,Ranip,0.5,G   htKev Jtuzobtk htbftuhct mtumtgxe htuz vtmu Jhmtœe vtKelt rlftj btxu Mx[tub Jtuxh z[ulus jtRl mw^thKt fhJtlt ftb Yt.50.00 jtFltu Fao fhJ
2024-25,Vasna,4.0,G   JtmKt Jtuzobtk bjtJ <¤tJ &e l>e Mþ^e le jtEl memexeJe zeNeÕx´d <&t sYrhgt< Bþsb Mxtubo Jtuxh jtEl ltkFJe fuavex cltJJtLþk ftb Yt.4.00 fh
2024-25,Stadium,2.0,"G   Mxuzegb Jtuzobtk ak÷Ctdt ntWm´d ylu Ctøgjûbe ntWm´d yuvtxobuLxle ytmvtmlt rJM<th, «ftN>ev yuvtxobuLx, ©elt& yuvtxobuLx ylu sw>t sw>t ntW"
2024-25,Sabarmati,3.5,"G   mtchb<e Jtuzobtk JujSCtR lt fwJtu, dKuNldh, jûbeldh, btuxuht dtb<¤ rJM<th, dtk^e Jtm <&t su.ve le atje btk lJe z[ulus jtRl ltkFJtlw ftb "
2024-25,Navrangpura,0.5,G   lJhkdÃþht Jtuzobtk btKufctd ath hM<t &e ytgtuslldh <hV lJe Mxtubo Jtuxh jtEl ltkFJtLþk ftb Yt.50.00 jtFltu Fao fhJtLþk ytgtusl fhuj Au. 
2024-25,Navrangpura,1.0,"G     lJhkdvwht Jtuzobtk dwjctR xufht rJM<thbtk ytJuj Mjb atjeytu, beXtF¤e dtb<¤, lJhkdÃþht dtb<¤, ntujeÔþzlt Atvht rJM<thbtk memeythyum le "
2024-25,Naranpura,0.5,G     lthKÃþht Jtuzobtk øþsht< ntWm´dle Jmtn<tubtk memeythyum le Vhegt>lt yLþmk^tlu z[ulus luxJfo c>jJtLþk ftb Yt.50.00 jtFltu Fao fhJtLþk y
2024-25,Ranip,1.0,G     htKev Jtuzobtk Jtuzobt cfhbkze z[ulus luxJfo c>jJtLþk <&t vuJh çjtuf vuJ´d fhJtlt ftb Yt.1.00 fhtuzltu Fao fhJtLþk ytgtusl fhuj Au.
2024-25,Chandkheda,0.5,G     atk>Fuzt Jtuzobtk dtb<¤ <&t sl<tldhbtk z[ulus luxJfo c>jJtLþk ftb Yt.50.00 jtFltu Fao fhJtLþk ytgtusl fhuj Au.
2024-25,Paldi,1.0,"G     vtjze Jtuzobttk Çþ>hÃþht, ytkcuzfh ftujtule, bnul<Ãþht, btgtldh, MþFeÃþht, ftd>eJtz memeythyum le Vhegt>lt yLþmk^tlu z[ulus luxJfo c>j"
2024-25,Vasna,1.0,"G     JtmKt Jtuzobtk øþÃ<tldh, JtÕbefe Jtm, atkBþztldh, nheytubldh rJM<thmemeythyum le Vhegt>lt yLþmk^tlu z[ulus luxJfo c>jJtLþk ftb Yt.1.00"
2024-25,Nava Vadaj,1.5,"G     lJtJtzs Jtuzobtk me.me.yth.yum Vhegtœ yk<do< mtuhtcS fkBvtWLz, dtk^eldh xufhtu, mtiht»x[ ©bSJelt Atvhtytu, ytuzltu xufhtu <&t øþsht< n"
2024-25,Ranip,4.0,G     htKev Jtuzobtk NeJ Ntjed{tb mtumtgxe&e –<w ykzhvtm mw^e <&t dKuN îth ckøjtuÍ&e Neûtt vºte yuJLgw <hV z[ulus <&t Mx[tub Jtuxh jtRl ltFJ
2024-25,Nava Vadaj,3.2,"G     lJt Jtzs Jtuzobtk lJe z[tVx xe.ve. yuhegtbtk Je.yul.d{elle vtA¤lt Ctdbtk lJtu Ïþjuj xe.ve. htuz vh z[ulus jtEl, vtKele jtEl, Mxtubo Jt"
2024-25,Gomtipur,5.0,"G     dtub<eÃþh Jtuzobtk sw>e sw>e atjeytubtk z[ulus / vtKe, yth.me.me. htuz / vuJh çjtuf Yt.5.00 fhtuzlt Fauo ltkFJt"
2024-25,Ramol-Hathijan,1.0,G     htbtuj nt&esK Jtuzobtk lJt mbtJuN rJM<thbtk z[ulus jtEl Yt.1.00 fhtuzlt Fauo ltkFJt
2024-25,Ramol-Hathijan,1.1,G     htbtuj nt&esK Jtuzobtk huÕJu vtmu vwNekd îtht z[ulusjtRl Yt.1.10 fhtuzlt Fauo ltkFJt
2024-25,Gomtipur,52.0,2.1 MðŠý{ ßÞkr‚ {wÏÞ{kºte þnuhe rðftË Þtus™t nuX¤™t {wÏÞ ft{tu «dr<lt ftb : ^      ybœtJtœ Bgwrlrmvj ftuvtuohuNl yk<do< fuLxtulbuLx Ft<u 25.
2024-25,Vastral,7.6,2.2 y{]‚ (Atal Mission for Rejuvenation and Urban Transformation) fuL÷ mhfth©ele yb]< 2.0 le Mfeb <t. 01.10.2021 lt htus ònuh fhJtbtk ytJuj.
2024-25,Shahpur,164.0,bebe ztgtle z[ulus x[Lf jtRl (3) nheytub ntWmekd&e RzcÕgwyum ftujtule &R yFcth ldh mfoj mw^e 1600 bebe ztgtle z[ulusjtRl (4) ybel ath hM<t&e
2024-25,Sardarnagar,5.0,ytgtusllt ftb : ^     fuLxtuLbuLx 25 yub.yuj.ze.yum.xe.ve.btxu fuLxtulbuLx ctuzo mt&u &guj yub.ytu.gw bwsc fuLxtulbuLx rJM<thbtk z[ulus luxJ
2024-25,Sardarnagar,5.0,"^     W•thÍtulbtk mhœthldh Jtuzolt fhtR rJM<thbtk xe.ve. 411, 241 ltk lJt xe.ve. htuzbtk z[ulus jtRl luxJfo ltkFJtlw ftb Yt. 5.00 fhtuzlt Fa"
2024-25,Shahibaug,40.0,^      œrûtK vrùb Ítulbtk ykch xtJh&e xe.ve. 88 htuz &R mJuht Vjtuhj &R V<unJtze fultj &R Vwrsj vtfo &R yth.me.me. ytWxVtuj Mx[fah mw^e Mxtu
2024-25,Nikol,30.0,^      vqJoÍtulbtk rlftuj Jtuzobtk Mxtubo Jtuxh z[ulus luxJfo <&t vkvekd MxuNl cltJJtle ftbdehe Yt.30.00 fhtuzltk Fauo nt& ^hJtbtk ytJNu. ^ 
2025-26,Shahpur,104.12,✧       NtnÃþh Jtuzobtk Yt.104.12 fhtuzlt Fauo 5tuÕGþNl yufNl Ãjtl yLJgu vtKele jtEl z[ulus jtEl <&t yth.me.me./ vuJh çjtuf jdtJJt.
2025-26,Shahibaug,51.7,✧       Ntnectd Jtuzobtk Yt.51.70 fhtuzlt Fauo 5tuÕGþNl yufNl Ãjtl yLJgu vtKele jtEl z[ulus jtEl <&t yth.me.me./ vuJh çjtuf jdtJJt.
2025-26,Dariapur,1.05,✧       >rhgtÃþh Jtuzobtk Yt.1.05 fhtuzlt Fauo sw>t sw>t htuz vh yth.me.me.z[ulus jtEl ltkFJt
2025-26,Khadia,55.13,✧     Ftrzgt Jtuzobtk Yt.55.13 fhtuzlt Fauo 5tuÕGþNl yufNl Ãjtl yLJgu vtKele jtEl z[ulus jtEl <&t yth.me.me./ vuJh çjtuf jdtJJt.
2025-26,Dariapur,59.98,✧     >rhgtÃþh Jtuzobtk Yt.59.98 fhtuzlt Fauo 5tuÕGþNl yufNl Ãjtl yLJgu vtKele jtEl z[ulus jtEl <&t yth.me.me./ vuJh çjtuf jdtJJt.
2025-26,Asarwa,67.06,✧     ymthJt Jtuzobtk Yt.67.06 fhtuzlt Fauo 5tuÕGþNl yufNl Ãjtl yLJgu vtKele jtEl z[ulus jtEl <&t yth.me.me./ vuJh çjtuf jdtJJt.
2025-26,Asarwa,54.0,✧     ymthJt Jtuzobtk 1.54 fhtuzlt Fauo mh>th atuf &e ytubldh mfoj mw^e <&t dtk^e atuf&e mh>th atuf Mþ^e yth.me.me.z[ulus jtEl ltkFJt.
2025-26,Ranip,0.6654,✧   htKev Jtuzobtk ytJuj LGþ htKev rJM<thbtk ytJuj EL÷jtuf mtumtgxe &e hðltmtdh ntExTm &e NÂ¾<ldh Mþ^eltu huÕJu mbtk<h xe.ve.htuz Wvh (1) Yt
2025-26,Sardarnagar,66.0,✧       W•thÍtulbtk mhœthldh Jtuzobtk xe.ve. 241 (ltlt rajtuzt) rJM<thbtk z[ulus luxJfo ltkFJtlwk ftb hfb :- 13.66 fhtuz
2025-26,Sardarnagar,81.0,✧     mhœthldh Jtuzobk ytJuj ltlt rajtuzt dtb<¤ rJM<thbtk vtKele xtkfe &e ltlt rajtuzt z[ulus vkved mw^elt htuzlu yth.me.me.htuz <&t RLxhjtu
2025-26,Bapunagar,33.0,✦                                                                                                           ✦ 108 &e ÔgtmJtze <&t ctvwldh Jt
2025-26,Sardarnagar,30.0,"✧      mhœthldh Jtuzobtk ltucjldh, bujzeldh, ltlt rajtuzt, ytkctJtze, mhœthldh z[ulus z[ulus vkved MxuNl <&t fwcuhldh Jtuzobtk S Jtuzo z[ulu"
2025-26,Vastral,5.9,✧     JMºttj yb>tJt> Bgw.ftuvtuohuNllt z[ulus «tusufx Ftðtt nuX¤ vqJoÍtulbtk JMºttj Jtuzobtk sw>e- sw>e søGttyu lJe Mx[tub Jtuxh jtRl ltkFJt
2025-26,Odhav,0.29,✧     JMºttj vqJoÍtulbtk ve.ytR.gw.ykðtdoðt ytJðtt rlftuj ylu ytuZJ Jtuzobtk ytJuj ngtðt 900 yub.yub.Úte Wvhle z[ulus jtRl ðtÚtt Mxtubo Jtux
2025-26,Nikol,20.69,✧     rlftuj yb>tJt> Bgw. ftuvtuohuNllt z[ulus «tusufx îtht vwJoÍtullt rlftuj Jtuzobtk Mx[tub Jtuxh luxJfo ltkFJtlwk ftb Y.20.69 fhtuzltk Fa
2025-26,Bhaipura,1.0,"✧      CtEÃþht Jtuzobt me.me.yth.yum. ykðtdoðt z[ulus, vtKe ðtÚtt yth.me.me. htuzle ftbdehe fhJt (vufus) Y.1.00 fhtuzltk Fauo ytgtusl"
2025-26,Nikol,2.48,✧     rlftuj Jtuzobtk 900 yub. yub. ztgt le z[ulus jtEl dtuvtj atufÚte SJlJtze vkvekd mw¼e ltkFJtlw ftb Y.2.48 fhtuzltk Fauo ytgtusl
2025-26,Lambha,16.57,✧      jtkCt Jtuzobtk ytJuj vev¤s-dtuvtjvwh-misvwh dtb <ubs vev¤s dtble ctswbtk mJuo lk.- 95 rJM<th <&t <ulu mkkkjøl ltul xe.ve. rJM<thlt òn
2025-26,Lambha,8.94,✧      jtkCt Jtuzobtk ytJuj øgtmvwh dtblt swœt swœt hM<tytu <ubs <ulu mkjøl ltul xe.ve. rJM<thlt ònuh yJhsJhlt hM<tytu Wvh Y.8.94 fhtuzltk F
2025-26,Lambha,19.95,✧      JxJt Jtuzobtk lJt mbtrJ»x (swlt jtkCt Jtuzo vifelt) xe.ve.79 ylu xe.ve-58 btk ngt<d{tWLz Jtuxh xucjlt fthKu Y.19.95 fhtuzltk Fauo lJw
2025-26,Thaltej,30.0,✧     &j<us Jtuzobtk Mxuxm 55 htuz vh lJe z[ulus jtRl ltkFJtlt ftblwk Y.30 fhtuzlwk ytgtusl
2025-26,Thaltej,30.0,✧     &j<us Jtuzobtk rœÔgsgtu<&e ftJuhe mtunb mw^e lJe z[ulus jtRl ltkFJtlt ftblwk Y.30 fhtuzlwk ytgtusl
2025-26,Bodakdev,15.0,✧     ctuzfœuJ Jtuzobtk hts&t¤ huMxuhLx&e ytkcje ntRxm <hVlt htuz vh lJe z[ulus jtRl <&t Mx[tub Jtuxh jtRl ltkFJtlt ftblwk Y.15 fhtuzlwk ytg
2025-26,Thaltej,50.0,✧     &j<us Jtuzobtk Lgwgtufo xtJh &e fumh xe Mxtuj ylu ctuzj ntWm &e ytlkœ lefu<l M¾wj mw^e Mx[tub Jtuxh jtRl ltkFJtlt ftblwk Y.50 fhtuzlwk
2025-26,Thaltej,30.0,"✧     &j<us Jtuzobtk xe.ve.1,2, dwYfw¤ rJM<th,<&t swœe swœe søgtytuyu z[ulus jtRl yvd{zuNl <ubs <ulu jd<e ytlwmkdef ftbdehe fhJtlt ftblwk Y."
2025-26,Thaltej,20.0,"✧     &j<us Jtuzobtk xe.ve.37,38, Nejs, nuc<vwh, Ctzs rJM<thbtk <&t swœe swœe søgtytuyu z[ulus jtRl yvd{zuNl <ubs <ulu jd<e ytlwmkdef ftbdeh"
2025-26,Thaltej,30.0,✧     &j<us Jtuzobtk ctuvj-Dwbt rJM<thbt z[ulus jtRl yvd{zuNl <ubs <ulu jd<e ytlwmkdef ftbdehe fhJtlt ftblwk Y.30 fhtuzlwk ytgtusl
2025-26,Gota,100.0,✧     dtu<t Jtuzobtk mtgLm mexe rJM<thbtk dtu<t Jtuzo ytuVem &e yuBvtgh ceÍlum mw^e <&t rmæ^e buLNl lt dux &e rmæ^e rJjt mw^e <&t bneLœ[tlt 
2025-26,Sardarnagar,30.0,✦                                                                                                          ✦ ❃     vwJo Ítullt htbtuj-nt&esK
2025-26,Lambha,388.14,2.2 y{]‚ (Atal Mission for Rejuvena•on and Urban Transforma•on) fuL÷ mhfth©ele yb]< 2.0 le Mfeb <t. 01.10.2021 lt htus ònuh fhJtbtk ytJuj. s
2025-26,Vastral,6.75,✦                                                                                                       ✦ ❃     mtW& ctuvj Ft<u mtuctu muLxh
2025-26,Sardarnagar,5.0,«dr<lt ftb : ❃     vqJo Ítul dtub<evqh z[ulus vkved MxuNlle htRÍed jtRl cœjJtlwk ftb Yt.5.00 fhtuzltk Fauo ftbdehe atjw fhuj Au. ❃     vwJo 
2025-26,Bodakdev,17.0,✦                                                                                                      ✦ ❃   W•th vrùb Ítulbtk ctuzfœuJ Jtuz
2025-26,Nikol,24.0,"3.2 ftu…tuohuþ™ Vkz nuX¤™t {wÏÞ ft{tu «dr<lt ftb : ❃     Lgw bKeldh <&t mkjøl rJM<thbtk htbtuj nt&esK xe.ve. 107, 108, 115 Mx[tubo Jtuxh vkv"
