arm,outcome,beta,cluster_se,cluster_p,conley_se,conley_p,n
tier: narrow,share_narrow,0.44498980075754024,0.19768521866343192,0.024385417697020427,0.17980926233653471,0.01333152933184234,1722
tier: medium (baseline),share_medium,1.4683340804681086,1.0778381291495152,0.17310463334859283,0.8336754470236708,0.07819139089057559,1722
tier: broad,share_broad,1.316499507648664,1.0683009966034482,0.21782578856044665,0.8088278863669575,0.10359628824042111,1722
attribution: naive tag,share_naive,1.468334080468109,1.077838129149538,0.17310463334860182,0.8336754470236808,0.07819139089057914,1722
attribution: split evenly,share_split,1.3646691665143487,1.053257695061526,0.19509091311545845,0.8947222933468585,0.12719842890226718,1722
drop largest 1% projects,share_trim,1.4354103973368175,1.0358212643298073,0.16581703839589257,0.8154013800694857,0.0783446208007108,1722
outcome: log per capita,log_drain_pc,0.04083801242842176,0.034353082380263036,0.23452905557697667,0.030639619152635758,0.18258107602802398,1722
outcome: log per built-up km2,log_drain_bu,0.06901486543177275,0.03902216636032225,0.0769595294900877,0.033280971388562834,0.03810685994382035,1722
