spec,beta,se,p,r2
1 bare,2.3086493560681536,1.3578044123543969,0.08907803935421321,0.05712635010012013
2 +size,1.870151553807914,1.3325158701942474,0.1604755006153964,0.10545710590881108
3 +core/periph,1.6688644222419065,1.3268786778716068,0.2084868824392666,0.14679029817983424
4 +terrain,1.7297217223279489,1.6619529275370393,0.29797924124587694,0.15156408957301215
5 +equity,1.7286573851299882,1.6800310436668002,0.30350612408601596,0.1515644427794075
