tier,beta,se,p,r2,n
narrow,-0.0102071668010279,0.15412957576170846,0.9471990257507481,0.01647818833831527,198
medium,2.2867802920576326,1.3574615604834575,0.09206569352938038,0.05478722854450768,198
broad,1.9900686406797132,1.342361566245963,0.1382038138552677,0.043971529896233874,198
