outcome,hazard,beta,p
drainage,flood,1.7052602194954987,0.3096707655505151
drainage,heat,-2.6515948729940213,0.023249990866448758
parks/green,flood,2.188614390029968,0.08120867961657773
parks/green,heat,-0.48303861415511273,0.46928627190519634
