spec,beta,se,p,pct
no political control,-0.08373601850281032,0.03386569981152262,0.013413762567085232,-8.032599902665982
+ aligned dummy,-0.08401709742387713,0.03384217949415928,0.013042201659998942,-8.058446367640249
+ party fixed effects,-0.08413410877063174,0.03217974022763906,0.008935671405422183,-8.069203943262004
+ party x year FE,-0.08371940670565503,0.033142196871119835,0.011534751167686685,-8.031072146181305
