spec,beta,se,p,pct,n
"baseline, no stock control",-0.08143475842934883,0.03387867786191906,0.016229325744017815,-7.820715289469826,1722
+ drain density (linear),-0.07035875928173758,0.04089545739569154,0.08534992166879213,-6.794062503497722,1722
+ engineered-only density,-0.07126715933177226,0.04008738288660223,0.07543748707069153,-6.878692337090897,1722
+ log density (diminishing returns),-0.06234282675773101,0.036466891680473255,0.08734479425032124,-6.0439274985642495,1722
+ density x hazard interaction,-0.07507683715739524,0.04108226373040597,0.06762828210211158,-7.232779610512374,1722
