step,beta,se,p
(1) hazard -> TOTAL ward budget,-0.13714533449372263,0.027331798089683033,5.226815765146159e-07
(2) hazard -> stormwater spend,-0.09481163428305694,0.03935776665367321,0.01599766288549569
(3) hazard -> stormwater | budget,0.04107194268306544,0.02891730460211381,0.15551336772078464
(4) hazard -> stormwater SHARE,1.609342782644369,0.8100606994696659,0.04695631010042935
