spec,beta,se,p,n
city FE,-0.1152798887527163,0.03833299896672111,0.0026355550233425856,1965
city + year FE,-0.10217095093998174,0.037187004677182736,0.006005320494653985,1965
city x year FE,-0.0991275294388442,0.038029274971636495,0.009144315909541671,1965
city:ahmedabad,-0.1582960217570306,0.16079039833676823,0.32487622761496393,107
city:bengaluru,-0.12513391961332676,0.04043449907193706,0.001969911103381343,1722
city:chennai,-0.2248952657288244,0.13489479985918634,0.09547662412704645,90
city:pune,-0.1673759003404417,0.08624976886730026,0.05230737865285068,46
