outcome,beta,se,p
"work orders, COUNT",-0.5531519243170536,0.16606540031693753,0.0008655692626792469
drainage spend,-0.9160216722815979,0.26432408791593587,0.0005291977893627981
roads spend,-1.5732618030593506,1.4087213248148478,0.26407929405832775
buildings spend,-2.2066651934058,1.8700168073492502,0.2379905674592503
street lighting spend,-2.8151622091095767,1.63528401531324,0.08515782866679918
