vs,diff,se,p
building,2.4687673557604484,1.8495140147729972,0.1819354326496806
streetlight,1.4009622341541408,1.3780368616136813,0.3093265004863758
water_supply,1.3691708276698065,1.4654673347208376,0.3501545494575883
parks,-0.2938542056459832,1.8871995830448804,0.8762623000746562
roads,-0.9186788013922182,1.3166374793163569,0.4853359283324863
