outcome,hazard,beta,p
drainage,flood,2.2867802920576326,0.09206569352938038
drainage,heat,-3.159590104172039,0.009797275550813892
parks/green,flood,0.9200255287996066,0.35700187921895576
parks/green,heat,-0.24656539711205358,0.7075082471530942
