city,hand_lt5m_share,hand_m,rain20mm_days,rain50mm_days,precip_annual,slope,elev_m,area_km2,drain_density_m_km2,n_units,publishes
ahmedabad,0.9162592631750187,1.8275432224739943,9.594791869322458,2.0614582349856696,763.1861941019694,0.02982527302167784,52.2378209444386,9.18201814968904,210.72323437863665,48,True
bengaluru_198,0.3752100498823399,8.94701709150916,3.8761364618937173,0.2507575750350952,992.0120784875119,0.060660349167622425,896.9808808357575,3.589689263515765,986.5498153326977,198,True
bhopal,0.6057782363427107,6.59177011572521,16.42485463342001,2.903052385463271,1209.2087317178416,0.046471348656683426,500.5627305578368,4.768125821104107,518.2903440584192,86,False
bhubaneswar,0.513541281226057,5.849460477733514,18.132836697706537,2.0694029829395353,1578.2987169863572,0.0396089169601469,39.07235017704016,2.191962448243639,396.78170939125874,67,False
chennai_zone,0.8497987928712312,2.4583317708826162,8.547655940055847,1.3093750178813934,1020.9491539001465,0.03387949646272433,10.97641230177516,27.162418426864278,588.3674064923963,16,True
coimbatore,0.7344232786093089,3.6428562328815195,2.8929998970031736,0.15800000548362733,1014.141826171875,0.03284773256905663,419.796874496737,2.601251270818936,498.8041641299834,100,False
delhi,0.7996725183894826,2.914153448882716,6.678232834256929,0.5515086353852832,821.5334563156654,0.04261809260469745,220.53104408326485,5.129992516568324,544.9108319193213,290,False
faridabad,0.9072113795916561,2.1281820631393207,6.423749887943268,0.5406249895691871,820.6238830566406,0.030309107204329434,206.46118258242836,4.869513866544228,492.9834251624341,40,False
hyderabad,0.506935934705735,6.294148614663454,6.154310466503275,0.47982758078081855,830.1574774380388,0.052146515333357055,530.742246686474,3.788361884894618,296.63099442756356,145,False
jaipur,0.6586104025840713,7.7134749048756825,5.069155835486078,0.4295454520683784,626.1520409522119,0.06724850857244588,434.8841200470642,4.8861015956424625,154.63834434524472,77,False
kanpur,0.8873402019576994,2.1930412196037516,11.258620936295081,0.8413793239100226,1075.0666230300378,0.036228402433746976,128.6038025559236,3.964744222705595,164.76500401288175,58,False
kolkata,0.9296445030115177,1.712645212464587,16.272605983923512,1.2347516912095091,1636.2787254820478,0.03862429609669659,9.10989539045079,1.3236399329197654,238.42235147971172,141,False
lucknow,0.8763230515131256,2.2433627918063013,11.796874957425254,1.034821436873504,1118.1011526925224,0.03443315661149833,121.0628530029762,2.5279883949168567,304.13729180933314,112,False
mumbai,0.6401077370108686,8.133724800485885,31.073959350585938,7.559374630451202,2101.504938761393,0.07325107709632234,21.616875739036185,19.08678390075737,614.6953164199509,24,True
nmmc,0.69612953887723,7.017242867697239,29.07882882882883,6.4747746119628085,2001.6385674004082,0.0615547432982747,15.319695386513066,1.0708677121072323,624.3090057728056,111,False
pcmc,0.43127579946235767,6.881347436328028,12.779166496161258,1.229166688341083,1179.0002274946733,0.0534477002361071,579.0908725792654,2.679451617189208,113.3876383005416,66,False
pune_admin,0.42463932193918713,11.846817292457933,10.882500330607096,0.9741666833559672,1080.531583658854,0.07601620271260949,594.3909379444136,16.74320645624833,653.5226925062384,15,True
surat,0.8420929881064018,2.6627595865314713,12.558333110809325,2.882500092188517,1098.7323689778646,0.03638721253948083,14.5329999165453,13.87901635260007,440.12099344183764,30,True
vadodara,0.8982331938506484,1.8980575664736954,11.748958349227905,2.371875067551931,983.0958862304688,0.030816965945538666,36.65889714878514,13.379511527581665,262.60802822573555,12,False
vijayawada,0.7853224649671368,8.472736525725365,9.243181748823686,1.3340909465566857,1063.6338762555804,0.07692361480365469,28.231947744489016,0.799337777100807,639.5830518322554,77,False
