method,pct,se,p
fixed-effect,-12.194145689380086,0.03414395983002466,0.00013973390840305022
random-effects,-12.194145689380086,0.03414395983002466,0.00013973390840305022
stouffer,,,0.008848846842398714
heterogeneity_I2,0.0,,0.5027156096984092
