city,units,unit_years,estimate_pct,p,mde_pct,powered
ahmedabad,29,107,-14.640293873695764,0.32487622761496393,56.86464524968826,False
bengaluru,198,1722,-11.739058505316734,0.002029265288969553,11.997107518238126,False
chennai,15,90,-20.140014484670733,0.09547662412704645,45.893313565714756,False
mumbai,24,64,26.752918635742716,0.4419782211845259,137.1096362502011,False
pune,7,46,-15.411841560783179,0.05230737865285068,27.31566309664981,False
surat,10,59,45.85503355471965,0.27158162801969465,161.5000589537362,False
