spec,beta,se,p,pct,n
"pooled, city x year FE",-0.06886537688757335,0.04011304055546462,0.08601887020433172,-6.654766412131741,2029
+ engineered drain density,-0.0826076465541627,0.04518958624071201,0.06754595525234919,-7.928767898662525,2029
