model,spec,beta,se,p
share,pooled,1.4354840728093476,1.1166811863218393,0.19862061654919705
share,+ year FE,1.45428641485642,1.1152830813499792,0.1922466437559358
share,+ year & zone FE,1.0796283048677706,0.9536463031491198,0.2575900475834747
logit_any,+year FE,0.002007663782185743,0.12485305147701246,0.9871703984423859
log_amount,+year&zone FE,0.03694277691048546,0.0347235153332887,0.2873684063291144
