city,units,n,b,se,p
ahmedabad,29,107,-0.1582960217570306,0.16079039833676823,0.32487622761496393
bengaluru,198,1722,-0.12487251491734841,0.04046530687267731,0.002029265288969553
chennai,15,90,-0.2248952657288244,0.13489479985918634,0.09547662412704645
mumbai,24,64,0.23706948293006458,0.30834016014013144,0.4419782211845259
pune,7,46,-0.1673759003404417,0.08624976886730026,0.05230737865285068
surat,10,59,0.3774430215896979,0.3433086867719138,0.27158162801969465
