edition,division_file,zone,dept_code,function_code,dp_code,account_head,v1,v2,v3,v4
2020-21,2020-21_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2020-21,2020-21_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-01-00,Storm Water Drains,5369,10000,17500,18000
2020-21,2020-21_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-03-00,Storm Water Drains-Desilting,7671,10000,10000,10000
2020-21,2020-21_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2020-21,2020-21_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-01-00,Storm Water Drains,1107,4000,10200,10000
2020-21,2020-21_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,4165,8000,8000,8000
2020-21,2020-21_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-01-00,Storm Water Drains,6000,2000,2000,
2022-23,2022-23_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-03-00,Storm Water Drains-Desilting,1663,10000,12000,15000
2022-23,2022-23_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-70-03-00,Flood Relief Works - Storm Water Drain,1,1,1,
2022-23,2022-23_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-01-00,Storm Water Drains,1723,2000,3000,3000
2022-23,2022-23_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-03-00,Storm Water Drains-Desilting,9999,10000,5000,5000
2022-23,2022-23_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-01-00,Storm Water Drains,932,5000,5000,5000
2022-23,2022-23_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-03-00,Storm Water Drains-Desilting,11786,10000,6000,6000
2022-23,2022-23_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-70-03-00,Flood Relief Works - Storm Water Drain,1,1,1,
2022-23,2022-23_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-01-00,Storm Water Drains,8965,10000,7000,7000
2022-23,2022-23_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,12974,20000,8000,8000
2022-23,2022-23_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-70-03-00,Flood Relief Works - Storm Water Drain,1,1,1,
2022-23,2022-23_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-01-00,Storm Water Drains,3267,5000,5000,5000
2022-23,2022-23_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-03-00,Storm Water Drains-Desilting,11457,15000,10000,10000
