edition,division_file,zone,dept_code,function_code,dp_code,account_head,v1,v2,v3,v4
2025-26,2025-26_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-54-01-00,Storm Water Drains,14638,10000,47000,30000
2025-26,2025-26_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-54-03-00,Storm Water Drains-Desilting,29386,20000,35000,35000
2025-26,2025-26_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2025-26,2025-26_S.txt,Zone-XI VALASARAVAKKAM,NL,20-21-07,230-54-01-00,Storm Water Drains,12925,10000,14000,10000
2025-26,2025-26_S.txt,Zone-XI VALASARAVAKKAM,NL,20-21-07,230-54-03-00,Storm Water Drains-Desilting,50735,40000,67000,50000
2025-26,2025-26_S.txt,Zone-XII ALANDUR,NM,20-21-07,230-54-01-00,Storm Water Drains,5411,5000,6500,6500
2025-26,2025-26_S.txt,Zone-XII ALANDUR,NM,20-21-07,230-54-03-00,Storm Water Drains-Desilting,8976,30000,20000,20000
2025-26,2025-26_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-54-01-00,Storm Water Drains,4916,5000,11200,12000
2025-26,2025-26_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-54-03-00,Storm Water Drains-Desilting,30798,30000,30000,30000
2025-26,2025-26_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,735,1,1,1
2025-26,2025-26_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-01-00,Storm Water Drains,2259,3000,3000,3000
2025-26,2025-26_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-03-00,Storm Water Drains-Desilting,7393,30000,30000,30000
2025-26,2025-26_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2025-26,2025-26_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-01-00,Storm Water Drains,4023,3000,8200,5000
2025-26,2025-26_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,2920,10000,22000,20000
2026-27,2026-27_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-01-00,Storm Water Drains,982,1000,14000,15000
2026-27,2026-27_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-03-00,Storm Water Drains-Desilting,11277,20000,41000,40000
2026-27,2026-27_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1000,1,1,1
2026-27,2026-27_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-01-00,Storm Water Drains,1000,2100,2000,
2026-27,2026-27_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-03-00,Storm Water Drains-Desilting,12415,20000,42000,40000
2026-27,2026-27_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-01-00,Storm Water Drains,34868,20000,20000,20000
2026-27,2026-27_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-03-00,Storm Water Drains-Desilting,39943,40000,40000,40000
2026-27,2026-27_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2026-27,2026-27_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-01-00,Storm Water Drains,14765,15000,15000,15000
2026-27,2026-27_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,76890,60000,181000,100000
2026-27,2026-27_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2026-27,2026-27_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-01-00,Storm Water Drains,35699,30000,107000,80000
2026-27,2026-27_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-03-00,Storm Water Drains-Desilting,32517,33000,35000,40000
2026-27,2026-27_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-01-00,Storm Water Drains,886,2000,12500,10000
2026-27,2026-27_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-03-00,Storm Water Drains-Desilting,1,4500,5000,
2026-27,2026-27_N.txt,Zone-II MANALI,NB,20-21-07,230-54-01-00,Storm Water Drains,4282,3000,12300,15000
2026-27,2026-27_N.txt,Zone-II MANALI,NB,20-21-07,230-54-03-00,Storm Water Drains-Desilting,378,3500,6000,6000
2026-27,2026-27_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-54-01-00,Storm Water Drains,4691,5000,6500,6500
2026-27,2026-27_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-54-03-00,Storm Water Drains-Desilting,7193,8000,9600,10000
2026-27,2026-27_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2026-27,2026-27_N.txt,Zone-IV TONDIARPET,ND,20-21-07,230-54-01-00,Storm Water Drains,36794,10000,10000,12000
2026-27,2026-27_N.txt,Zone-IV TONDIARPET,ND,20-21-07,230-54-03-00,Storm Water Drains-Desilting,34613,35000,35000,40000
2026-27,2026-27_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-54-01-00,Storm Water Drains,45991,30000,32000,35000
2026-27,2026-27_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-54-03-00,Storm Water Drains-Desilting,34448,35000,40000,40000
2026-27,2026-27_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2026-27,2026-27_S.txt,Zone-XI VALASARAVAKKAM,NL,20-21-07,230-54-01-00,Storm Water Drains,13187,10000,10000,10000
2026-27,2026-27_S.txt,Zone-XI VALASARAVAKKAM,NL,20-21-07,230-54-03-00,Storm Water Drains-Desilting,66602,50000,50000,60000
2026-27,2026-27_S.txt,Zone-XII ALANDUR,NM,20-21-07,230-54-01-00,Storm Water Drains,6203,6500,25000,25000
2026-27,2026-27_S.txt,Zone-XII ALANDUR,NM,20-21-07,230-54-03-00,Storm Water Drains-Desilting,19571,20000,20000,20000
2026-27,2026-27_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-54-01-00,Storm Water Drains,11117,12000,57000,50000
2026-27,2026-27_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-54-03-00,Storm Water Drains-Desilting,29877,30000,30000,30000
2026-27,2026-27_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2026-27,2026-27_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-01-00,Storm Water Drains,2912,3000,3000,3000
2026-27,2026-27_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-03-00,Storm Water Drains-Desilting,29798,30000,30000,30000
2026-27,2026-27_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2026-27,2026-27_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-01-00,Storm Water Drains,8169,5000,5000,5000
2026-27,2026-27_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,20870,20000,20000,20000
