"Zone","Major Account ","Major Code","Minor Account","Minor Code","Account Head","D P Code","2012-13  Actuals","2013-14  Budget Estimates","2013-14 Revised Estimates","2013-14  Actuals","2014-15 Budget Estimates","2014-15 Revised Estimates","2015-16  Budget Estimates"
"Total for Zone II - Manali","","",""," ","","","2987.13","2480.3","4971.0","4258.72","6323.3","6753.3","2123.3"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-JNNURM-BSUP-Buildings","412-10-07-04","14.99","0.0","0.0","0.0","0.0","0.0","0.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-09-00","1221.04","2006.0","900.0","892.49","0.0","43.0","0.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","1700.0","1455.27","0.0","180.0","0.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2013 - 2014)","412-10-12-00","0.0","0.0","2000.0","1377.88","1334.0","2084.0","0.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","10.67","13.3","2.0","0.0","13.3","13.3","13.3"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","290.59","360.0","360.0","179.53","360.0","360.0","360.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","145.25","500.0","300.0","150.08","300.0","300.0","0.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","4.52","0.0","0.0","0.0","2000.0","15.0","0.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","1306.85","900.0","2000.0","2021.07","3000.0","20500.0","1500.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","76.82","100.0","200.0","147.34","200.0","170.0","200.0"
"Zone III - Madhavaram","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","183.56","250.0","800.0","642.42","600.0","500.0","100.0"
"Total for Zone III - Madhavaram","","",""," ","","","3254.29","4129.3","8262.0","6866.08","7807.3","24165.3","3073.3"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-JNNURM-BSUP-Roads","412-10-07-01","26.61","0.0","70.0","50.09","0.0","0.0","0.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-10-90","0.0","2237.0","0.0","0.0","0.0","0.0","0.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","2000.0","1111.07","0.0","500.0","0.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","13.04","13.3","1.0","0.0","13.3","13.3","13.3"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","10.45","450.0","450.0","269.61","450.0","450.0","450.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","44.67","150.0","150.0","122.6","50.0","200.0","0.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","55.53","1500.0","1200.0","892.34","1500.0","1700.0","2000.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","601.64","500.0","1500.0","420.55","2500.0","3500.0","3000.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","84.5","150.0","250.0","201.58","200.0","500.0","200.0"
"Zone IV - Tondiapet","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","593.84","600.0","800.0","811.3","800.0","2500.0","100.0"
"Total for Zone IV - Tondiapet","","",""," ","","","1430.28","5600.3","6421.0","3879.14","5513.3","9363.3","6663.3"
"Zone V - Royapuram","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-JNNURM-BSUP-Roads","412-10-07-01","19.59","0.0","150.0","0.0","0.0","0.0","0.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-JNNURM-BSUP-Buildings","412-10-07-04","0.0","0.0","0.0","0.0","0.0","97.0","0.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-09-00","0.0","1899.0","0.0","0.0","0.0","0.0","0.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","1000.0","889.63","0.0","100.0","0.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","0.0","13.3","1.0","0.0","13.3","13.3","13.3"
"Zone V - Royapuram","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","0.0","450.0","450.0","372.03","450.0","450.0","450.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","127.06","100.0","350.0","232.91","350.0","350.0","0.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","32.85","1000.0","1000.0","582.29","1000.0","1000.0","2000.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","160.54","300.0","1000.0","483.39","2000.0","2400.0","1500.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","118.92","150.0","450.0","312.36","500.0","500.0","200.0"
"Zone V - Royapuram","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","1073.54","1000.0","2000.0","1930.25","1000.0","2000.0","100.0"
"Total for Zone V - Royapuram","","",""," ","","","1532.5","4912.3","6401.0","4802.86","5313.3","6910.3","5163.3"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-JNNURM-BSUP-Roads","412-10-07-01","0.0","0.0","30.0","8.66","0.0","0.0","0.0"
