"Zone","Major Account ","Major Code","Minor Account","Minor Code","Account Head","D P Code","2012-13  Actuals","2013-14  Budget Estimates","2013-14 Revised Estimates","2013-14  Actuals","2014-15 Budget Estimates","2014-15 Revised Estimates","2015-16  Budget Estimates"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","89.51","400.0","200.0","163.76","200.0","250.0","0.0"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","19.07","2000.0","1500.0","770.1","1000.0","1400.0","2000.0"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","475.51","500.0","1500.0","911.21","1500.0","2800.0","3500.0"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","99.78","100.0","200.0","172.14","300.0","600.0","200.0"
"Zone IX - Teynampet","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","621.6","800.0","2000.0","1848.79","1000.0","3300.0","100.0"
"Total for Zone IX - Teynampet","","",""," ","","","1472.62","5268.3","6378.3","4457.49","4553.3","8958.3","7253.3"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-JNNURM-BSUP-Roads","412-10-07-01","36.28","0.0","15.0","27.82","0.0","0.0","0.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-09-00","0.0","680.0","0.0","115.6","0.0","0.0","0.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","400.0","386.02","0.0","0.0","0.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","0.0","13.3","3.3","0.0","13.3","15.3","13.3"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","108.28","480.0","480.0","153.84","480.0","480.0","480.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","167.48","200.0","300.0","326.77","300.0","800.0","0.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","15.9","1500.0","2000.0","580.25","1000.0","2500.0","2000.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","1099.18","200.0","2000.0","1396.19","1500.0","3500.0","3000.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","143.51","100.0","500.0","736.2","300.0","900.0","200.0"
"Zone X - Kodambakkam","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","673.81","1000.0","2000.0","2447.32","1500.0","3000.0","100.0"
"Total for Zone X - Kodambakkam","Capital Work -in - progress","",""," ","","","2244.44","4173.3","7698.3","6170.01","5093.3","11195.3","6693.3"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-09-00","2325.03","6375.0","3500.0","3151.93","0.0","25.0","0.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","4000.0","140.5","2000.0","3900.0","0.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2013 - 2014)","412-10-12-00","0.0","0.0","500.0","3983.11","1500.0","2000.0","0.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","10.2","13.3","3.3","0.0","13.3","13.3","13.3"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","114.63","390.0","390.0","383.42","390.0","390.0","390.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","142.06","200.0","400.0","398.2","500.0","300.0","0.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","189.99","1000.0","300.0","248.52","1000.0","500.0","1000.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","2118.59","1000.0","2300.0","2221.84","2500.0","4500.0","2500.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","541.07","300.0","800.0","798.28","500.0","400.0","200.0"
"Zone XI - Valasaravakkam","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","211.96","250.0","600.0","628.95","500.0","750.0","100.0"
"Total for Zone XI - Valasaravakkam","","",""," ","","","5653.53","9528.3","12793.3","11954.75","8903.3","12778.3","5103.3"
"Zone XII - Alandur","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-09-00","2052.39","4611.0","2900.0","2742.56","0.0","15.0","0.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","2000.0","1563.05","0.0","20.0","0.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2013 - 2014)","412-10-12-00","0.0","0.0","1000.0","44.16","3023.0","1800.0","0.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","0.0","13.3","3.3","0.0","13.3","13.3","13.3"
"Zone XII - Alandur","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","41.37","360.0","360.0","115.87","360.0","360.0","360.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","79.57","200.0","650.0","301.65","500.0","700.0","0.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","11.55","1400.0","1000.0","337.31","1000.0","1500.0","1000.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","1196.7","750.0","1500.0","1070.53","1500.0","1700.0","2500.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","303.39","300.0","700.0","567.56","1000.0","1400.0","200.0"
"Zone XII - Alandur","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","311.24","300.0","500.0","379.65","500.0","500.0","100.0"
"Total for Zone XII - Alandur","","",""," ","","","3996.21","7934.3","10613.3","7122.34","7896.3","8008.3","5073.3"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-JNNURM-BSUP-Roads","412-10-07-01","136.26","0.0","170.0","131.59","50.0","15.0","0.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-09-00","0.0","1330.0","0.0","14.75","0.0","0.0","0.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","650.0","569.36","0.0","20.0","0.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","0.0","13.3","1.0","0.0","13.3","13.3","13.3"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","38.23","390.0","390.0","128.0","390.0","390.0","390.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","99.2","150.0","220.0","187.09","200.0","100.0","0.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","1.95","1200.0","500.0","180.41","1000.0","1400.0","1300.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","1282.71","1000.0","1500.0","779.62","3000.0","3500.0","3500.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","105.34","200.0","100.0","111.44","200.0","250.0","200.0"
"Zone XIII - Adyar","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","513.46","1000.0","1000.0","909.44","1000.0","1200.0","100.0"
"Total for Zone XIII - Adyar","","",""," ","","","2177.15","5283.3","4531.0","3011.7","5853.3","6888.3","6403.3"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-09-00","1577.11","6224.0","2800.0","2759.2","0.0","0.0","0.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","2600.0","2694.59","0.0","200.0","0.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2013 - 2014)","412-10-12-00","0.0","0.0","1500.0","1022.95","8774.0","7200.0","0.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","12.19","13.55","91.0","0.0","13.55","8.85","13.55"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","12.59","330.0","330.0","190.86","330.0","330.0","330.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","98.48","300.0","500.0","352.1","900.0","500.0","0.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","178.04","500.0","300.0","138.01","200.0","500.0","200.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","1195.43","1000.0","2000.0","2244.4","4000.0","11000.0","5000.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","232.78","200.0","800.0","797.75","500.0","1300.0","200.0"
"Zone XIV - Perungudi","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","101.8","200.0","800.0","699.57","1000.0","1200.0","100.0"
"Total for Zone XIV - Perungudi","","",""," ","","","3408.42","8767.55","11721.0","10899.43","15717.55","22238.85","6743.55"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-09-00","1991.66","3798.0","1600.0","1596.64","0.0","132.0","0.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","1600.0","1542.26","0.0","125.0","0.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","0.0","13.55","11.2","0.0","13.55","13.55","13.55"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","69.41","270.0","270.0","154.08","270.0","270.0","270.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","5.51","500.0","1000.0","600.97","1000.0","1000.0","0.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","3.77","1000.0","750.0","390.67","1500.0","1500.0","1000.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","765.56","1000.0","2200.0","1556.87","4000.0","7000.0","6500.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","34.53","100.0","500.0","302.76","500.0","300.0","200.0"
"Zone XV - Shozhinganallur","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","74.45","200.0","500.0","502.74","500.0","900.0","100.0"
"Total for Zone XV - Shozhinganallur","","","","","","","2944.89","6881.55","8431.2","6646.99","7783.55","11240.55","8983.55"
"","","","","","Grand Total","","41515.67","92949.0","121500.55","94548.13","112111.0","171504.0","87100.0"
"Legends","","","","","","","","","","","","",""
"CMCDM","Chennai??Mega City Development Mission","","","","","","","","","","","",""
"JNNURM","Jawaharlal Nehru National Urban Renewal Mission","","","","","","","","","","","",""
"GoTN","Government of Tamilnadu","","","","","","","","","","","",""
"BSUP","Basic Services To The Urban Poor","","","","","","","","","","","",""
